('Aamir', 'Khan', 'Indian'),
('Marlon', 'Moreno', 'Colombian'),
('Marta', 'Mazurek', 'Polish'),
('Marta', 'Straszewska', 'Polish'),
('Martin', 'LaSalle', 'French'),
('Martin', 'Sheen', 'American'),
('María', 'González', 'Colombian'),
('María', 'Zamarbide', 'Chilean'),
('Masaharu', 'Fukuyama', 'Japanese'),
('Mateusz', 'Damiecki', 'Polish'),
('Mathieu', 'Amalric', 'French'),
('Mathieu', 'Kassovitz', 'French'),
('Matsuyama', 'Kenichi', 'Japanese'),
('Matt', 'Damon', 'American'),
('Matthew', 'McConaughey', 'American'),
('Matthias', 'Schoenaerts', 'Belgian'),
('Matti', 'Pellonpää', 'Finnish'),
('Max', 'Irons', 'British'),
('Max', 'Ovaska', 'Finnish'),
('Max', 'Riemelt', 'German'),
('Max', 'von Sydow', 'Swedish'),
('Mel', 'Gibson', 'American-Australian'),
('Melania', 'Cruz', 'Spanish'),
('Melissa', 'McCarthy', 'American'),
('Memduh', 'Ün', 'Turkish'),
('Mena', 'Shalaby', 'Egyptian'),
('Mercedes', 'Morán', 'Argentinian'),
('Meryl', 'Streep', 'American'),
('Mia', 'Farrow', 'American'),
('Michael', 'B. Jordan', 'American'),
('Michael', 'Caine', 'British'),
('Michael', 'Cera', 'Canadian'),
('Michael', 'Douglas', 'American'),
('Michael', 'Fassbender', 'German-Irish'),
('Michael', 'Keaton', 'American'),
('Michael', 'Nyqvist', 'Swedish'),
('Michel', 'Piccoli', 'French'),
('Michelle', 'Alexander', 'American'),
('Michelle', 'Williams', 'American'),
('Mickey', 'Rourke', 'American'),
('Miho', 'Nakayama', 'Japanese'),
('Mikael', 'Persbrandt', 'Swedish'),
('Mike', 'Myers', 'Canadian'),
('Miki', 'Ishikawa', 'Japanese'),
('Mikkel', 'Gaup', 'Norwegian'),
('Mila', 'Jovovich', 'Ukrainian'),
('Mila', 'Kunis', 'American'),
('Miles', 'Teller', 'American'),
('Milla', 'Jovovich', 'American'),
('Min-hee', 'Kim', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Ming-Na', 'Wen', 'Chinese-American'),
('Mir', 'Hossein Noori', 'Iranian'),
('Mira', 'Grosin', 'Swedish'),
('Miriam', 'Yeung', 'Hong Kong'),
('Miroslav', 'Donutil', 'Czech'),
('Mithun', 'Chakraborty', 'Indian'),
('Miyu', 'Irino', 'Japanese'),
('Mohamed', 'Heneidy', 'Egyptian'),
('Mohamed', 'Saad', 'Egyptian'),
('Mohammad', 'Nikbin', 'Iranian'),
('Mohammed', 'Assaf', 'Palestinian'),
('Mohib', 'Mirza', 'Pakistani'),
('Mohsen', 'Ramezani', 'Iranian'),
('Mohsin', 'Abbas Haider', 'Pakistani'),
('Monia', 'Chokri', 'Canadian'),
('Monica', 'Bellucci', 'Italian'),
('Monica', 'Bleibtreu', 'German'),
('Moon', 'So-ri', 'South Korean'),
('Morgan', 'Freeman', 'American'),
('Moritz', 'Bleibtreu', 'German'),
('Morten', 'Grunwald', 'Danish'),
('Moses', 'Chan', 'Hong Kong'),
('Mrunal', 'Thakur', 'Indian'),
('Myriam', 'Mezières', 'Swiss'),
('Mélanie', 'Laurent', 'French'),
('Münir', 'Özkul', 'Turkish'),
('Nagarjuna', 'Akkineni', 'Indian'),
('Nana', 'Patekar', 'Indian'),
('Nanni', 'Moretti', 'Italian'),
('Naomi', 'Watts', 'English-Australian'),
('Nargis', 'Dutt', 'Indian'),
('Naseeruddin', 'Shah', 'Indian'),
('Natalia', 'Oreiro', 'Uruguayan'),
('Natalie', 'Dormer', 'British'),
('Natalie', 'Portman', 'American'),
('Natalie', 'Press', 'British'),
('Natasha', 'Jaramillo', 'Colombian'),
('Nathaniel', 'Brown', 'American'),
('Nawapol', 'Puwapornskul', 'Thai'),
('Nawazuddin', 'Siddiqui', 'Indian'),
('Necmettin', 'Cobanoglu', 'Turkish'),
('Necmettin', 'Çobanoglu', 'Turkish'),
('Neha', 'Dhupia', 'Indian'),
('Neil', 'Dudgeon', 'British'),
('Neil', 'Nitin Mukesh', 'Indian'),
('Nelly', 'Karim', 'Egyptian'),
('Neve', 'Campbell', 'Canadian'),
('Ngo', 'Thanh Van', 'Vietnamese'),
('Ngoc Hiep', 'Nguyen', 'Vietnamese'),
('Nick', 'Nolte', 'American'),
('Nicolas', 'Duvauchelle', 'French'),
('Nicole', 'Fortuin', 'South African'),
('Nicole', 'Kidman', 'Australian'),
('Nikki', 'Blonsky', 'American'),
('Nikolaj', 'Lie Kaas', 'Danish'),
('Nikolay', 'Cherkasov', 'Russian'),
('Nilbio', 'Torres', 'Colombian'),
('Nils', 'Ahrén', 'Swedish'),
('Nimrat', 'Kaur', 'Indian'),
('Nina', 'Hoss', 'German'),
('Nobuko', 'Miyamoto', 'Japanese'),
('Noel', 'Saldarriaga', 'Colombian'),
('Noomi', 'Rapace', 'Swedish'),
('Noor', 'Bukhari', 'Pakistani'),
('Norma', 'Aleandro', 'Argentinian'),
('Nour', 'El-Sherif', 'Egyptian'),
('Nushrat', 'Bharucha', 'Indian'),
('O-Shea', 'Jackson Jr.', 'American'),
('OC', 'Ukeje', 'Nigerian'),
('Oh-seong', 'Yoo', 'South Korean'),
('Ole', 'Lemmeke', 'Swedish'),
('Oleg', 'Menshikov', 'Russian'),
('Olga', 'Breno', 'Brazilian'),
('Oliver', 'Bodart', 'Belgian'),
('Olivier', 'Gourmet', 'Belgian'),
('Olivier', 'Martinez', 'French'),
('Omar', 'Sharif', 'Egyptian'),
('Omar', 'Sy', 'French'),
('Ondrej', 'Ladicky', 'Czech'),
('Ondrej', 'Vetchý', 'Czech'),
('Oscar', 'Isaac', 'Guatemalan-American'),
('Oskar', 'Werner', 'Swedish'),
('Otto', 'Jesper Berg', 'Norwegian'),
('Owen', 'Wilson', 'American'),
('Ozkan', 'Akca', 'Turkish'),
('Paddy', 'Considine', 'British'),
('Pamela', 'Tola', 'Finnish'),
('Pankaj', 'Tripathi', 'Indian'),
('Paprika', 'Steen', 'Danish'),
('Paresh', 'Rawal', 'Indian'),
('Park', 'Chan-wook', 'South Korean'),
('Parviz', 'Parastui', 'Iranian'),
('Patrick', 'Lapp', 'Swiss'),
('Patrick', 'Wilson', 'American'),
('Paul', 'Newman', 'American'),
('Paulina', 'Dávila', 'Colombian'),
('Paulina', 'García', 'Chilean'),
('Paulo', 'Betti', 'Brazilian'),
('Paulo', 'Villas Boas', 'Brazilian'),
('Pavel', 'Liška', 'Czech'),
('Pedro', 'Almodóvar', 'Spanish'),
('Pegah', 'Ferydoni', 'Iranian'),
('Pelle', 'Hvenegaard', 'Danish'),
('Pelé', 'Dos Santos', 'Angolan'),
('Penelope', 'Tsilika', 'Greek'),
('Penélope', 'Cruz', 'Spanish'),
('Per', 'Oscarsson', 'Swedish'),
('Pertti', 'Kurikka', 'Finnish'),
('Peter', 'Franzén', 'Finnish'),
('Peter', 'O-Toole', 'Irish'),
('Petra', 'Moro', 'Austrian'),
('Phanom', 'Yeermun', 'Thai'),
('Pierce', 'Brosnan', 'Irish'),
('Pierre', 'Vernooy', 'Dutch'),
('Pihla', 'Viitala', 'Finnish'),
('Piotr', 'Garlicki', 'Polish'),
('Preity', 'Zinta', 'Indian'),
('Priyanka', 'Chopra', 'Indian'),
('Pål', 'Sverre', 'Norwegian'),
('Qi', 'Shu', 'Taiwanese'),
('Qu', 'Chuxiao', 'Chinese'),
('Quim', 'Gutiérrez', 'Spanish'),
('Rachel', 'McAdams', 'Canadian'),
('Radhika', 'Apte', 'Indian'),
('Radoslav', 'Basa', 'Czech'),
('Rady', 'Gamal', 'Egyptian'),
('Rahul', 'Bhat', 'Indian'),
('Rahul', 'Khanna', 'Indian'),
('Raj', 'Kirn', 'Indian'),
('Rajat', 'Kapoor', 'Indian'),
('Rajesh', 'Khanna', 'Indian'),
('Rajkummar', 'Rao', 'Indian'),
('Rajneesh', 'Duggal', 'Indian'),
('Rakul', 'Preet Singh', 'Indian'),
('Rami', 'Malek', 'American'),
('Ramsey', 'Nouah', 'Nigerian'),
('Ranbir', 'Kapoor', 'Indian'),
('Randeep', 'Hooda', 'Indian'),
('Ranveer', 'Singh', 'Indian'),
('Rasim', 'Öztekin', 'Turkish'),
('Raul', 'Cortez', 'Brazilian'),
('Raveena', 'Tandon', 'Indian'),
('Ray', 'Winstone', 'English'),
('Regina', 'Casé', 'Brazilian'),
('Renée', 'Soutendijk', 'Dutch'),
('Ricardo', 'Darín', 'Argentine'),
('Rickson', 'Tevez', 'Brazilian'),
('Rishi', 'Kapoor', 'Indian'),
('Riteish', 'Deshmukh', 'Indian'),
('Riz', 'Ahmed', 'British'),
('Robert', 'De Niro', 'American'),
('Robert', 'Donat', 'British'),
('Robert', 'Downey Jr.', 'American'),
('Robert', 'Duvall', 'American'),
('Robert', 'Pattinson', 'British'),
('Robert', 'Skjærstad', 'Norwegian'),
('Roberto', 'Benigni', 'Italian'),
('Roberto', 'Farías', 'Chilean'),
('Robin', 'Williams', 'American'),
('Robin', 'Wright', 'American'),
('Rod', 'Taylor', 'Australian'),
('Rodrigo', 'Santoro', 'Brazilian'),
('Roman', 'Griffin Davis', 'British'),
('Ronak', 'Patani', 'South African'),
('Rosamund', 'Pike', 'English'),
('Rosanna', 'Arquette', 'American'),
('Rose', 'Byrne', 'Australian'),
('Roy', 'Chiao', 'Taiwanese'),
('Rumi', 'Hiiragi', 'Japanese'),
('Rupert', 'Grint', 'British'),
('Russell', 'Crowe', 'New Zealander'),
('Ruth', 'Ramos', 'Mexican'),
('Ryan', 'Gosling', 'Canadian'),
('Ryan', 'Reynolds', 'Canadian'),
('Ryo', 'Ishibashi', 'Japanese'),
('Rémy', 'Girard', 'Canadian'),
('Sabine', 'Azéma', 'French'),
('Sachiko', 'Hidari', 'Japanese'),
('Sadiq', 'Daba', 'Nigerian'),
('Saeed', 'Khosravi', 'Iranian'),
('Saffron', 'Burrows', 'British'),
('Saif', 'Ali Khan', 'Indian'),
('Salma', 'Hayek', 'Mexican'),
('Salmaan', 'Peerzada', 'Pakistani'),
('Salman', 'Ahmed', 'Pakistani'),
('Salman', 'Khan', 'Indian'),
('Sam', 'Lee', 'Hong Kong'),
('Sam', 'Neill', 'New Zealander'),
('Sam', 'Riley', 'British'),
('Sam', 'Worthington', 'Australian'),
('Samiya', 'Mumtaz', 'Pakistani'),
('Samuel', 'Kuosmanen', 'Finnish'),
('Samuel', 'L. Jackson', 'American'),
('Sandra', 'Bullock', 'American'),
('Sandrine', 'Bonnaire', 'French'),
('Sandro', 'Panseri', 'Italian'),
('Sanjay', 'Dutt', 'Indian'),
('Santiago', 'Cabrera', 'Chilean'),
('Sanya', 'Malhotra', 'Indian'),
('Saoirse', 'Ronan', 'Irish'),
('Sarmad', 'Khoosat', 'Pakistani'),
('Sasha', 'Lane', 'American'),
('Satu', 'Silvo', 'Finnish'),
('Scarlett', 'Johansson', 'American'),
('Scoot', 'McNairy', 'American'),
('Sean', 'Astin', 'American'),
('Sean', 'Connery', 'Scottish'),
('Sean', 'Penn', 'American'),
('Seidi', 'Haarla', 'Finnish'),
('Selton', 'Mello', 'Brazilian'),
('Sergey', 'Dreyden', 'Russian'),
('Seth', 'Rogen', 'Canadian'),
('Setsuko', 'Hara', 'Japanese'),
('Seu', 'Jorge', 'Brazilian'),
('Seung-ryong', 'Ryu', 'South Korean'),
('Seung-yeon', 'Lee', 'South Korean'),
('Shaan', 'Shahid', 'Pakistani'),
('Shabana', 'Azmi', 'Indian'),
('Shah Rukh', 'Khan', 'Indian'),
('Shahab', 'Hosseini', 'Iranian'),
('Shahbaz', 'Khan', 'Indian'),
('Shahid', 'Kapoor', 'Indian'),
('Shahrukh', 'Khan', 'Indian'),
('Shalim', 'Ortiz', 'Puerto Rican'),
('Shammi', 'Kapoor', 'Indian'),
('Shane', 'Carruth', 'American'),
('Sharlto', 'Copley', 'South African'),
('Sharman', 'Joshi', 'Indian'),
('Sharon', 'Stone', 'American'),
('Shawn', 'Yue', 'Hong Kong'),
('Sherif', 'Desoky', 'Egyptian'),
('Shia', 'LaBeouf', 'American'),
('Shiang-chyi', 'Chen', 'Taiwanese'),
('Shincho', 'Sakurai', 'Japanese'),
('Shraddha', 'Kapoor', 'Indian'),
('Shu', 'Qi', 'Taiwanese'),
('Sid', 'Lucero', 'Filipino'),
('Sidharth', 'Malhotra', 'Indian'),
('Silje', 'Reinaamo', 'Norwegian'),
('Simon', 'J. Berger', 'Norwegian'),
('Simon', 'Pegg', 'British'),
('Simon', 'Srebnik', 'Polish'),
('Siraphan', 'Wattanajinda', 'Thai'),
('So-yeon', 'Jang', 'South Korean'),
('Sohai', 'Ali Abro', 'Pakistani'),
('Sohrab', 'Mohammad Reza Golzar', 'Iranian'),
('Sola', 'Sobowale', 'Nigerian'),
('Sonakshi', 'Sinha', 'Indian'),
('Sonam', 'Kapoor', 'Indian'),
('Song', 'Kang-ho', 'South Korean'),
('Sophia', 'Loren', 'Italian'),
('Sophie', 'Marceau', 'French'),
('Soumitra', 'Chatterjee', 'Indian'),
('Sridevi', 'Kapoor', 'Indian'),
('Stellan', 'Skarsgård', 'Swedish'),
('Stephen', 'Chow', 'Hong Kong'),
('Stephen', 'Rea', 'Irish'),
('Stephen', 'Segerman', 'South African'),
('Steve', 'Buscemi', 'American'),
('Steve', 'Carell', 'American'),
('Steve', 'McQueen', 'American'),
('Steve', 'Zahn', 'American'),
('Stéphane', 'Audran', 'French'),
('Su-jeong', 'Lim', 'South Korean'),
('Suk-kyu', 'Han', 'South Korean'),
('Sultan', 'Rahi', 'Pakistani'),
('Sunil', 'Shetty', 'Indian'),
('Sunny', 'Deol', 'Indian'),
('Sunny', 'Leone', 'Canadian-Indian'),
('Supphasit', 'Kansen', 'Thai'),
('Supriya', 'Choudhury', 'Indian'),
('Susana', 'Giménez', 'Argentinian'),
('Sushant', 'Singh', 'Indian'),
('Sushant', 'Singh Rajput', 'Indian'),
('Sushil', 'Kumar', 'Indian'),
('Svein', 'Andreas Holst', 'Norwegian'),
('Sven-Bertil', 'Taube', 'Swedish'),
('Sylvester', 'Stallone', 'American'),
('Sylvia', 'Chang', 'Taiwanese'),
('Sylvia', 'Sidney', 'American'),
('Sylvie', 'Testud', 'French'),
('Taapsee', 'Pannu', 'Indian'),
('Tabu', 'Hashmi', 'Indian'),
('Tadanobu', 'Asano', 'Japanese'),
('Tae-ri', 'Kim', 'South Korean'),
('Taika', 'Waititi', 'New Zealander'),
('Takahiro', 'Nishijima', 'Japanese'),
('Takashi', 'Shimura', 'Japanese'),
('Takeshi', 'Kitano', 'Japanese'),
('Tamer', 'Levent', 'Turkish'),
('Taner', 'Birsel', 'Turkish'),
('Tansu', 'Bicer', 'Turkish'),
('Tatiana', 'Vilhelmová', 'Czech'),
('Tatsuya', 'Fuji', 'Japanese'),
('Tatsuya', 'Fujiwara', 'Japanese'),
('Tatsuya', 'Nakadai', 'Japanese'),
('Tenoch', 'Huerta', 'Mexican'),
('Teresa', 'Gutiérrez', 'Colombian'),
('Terrence', 'Howard', 'American'),
('Tessa', 'Thompson', 'American'),
('Thabo', 'Mbeki', 'South African'),
('Thanasis', 'Vengos', 'Greek'),
('Thomas', 'Jane', 'American'),
('Thomas', 'Mahlomotja', 'South African'),
('Thomas', 'Turgoose', 'English'),
('Thommy', 'Berggren', 'Swedish'),
('Thu', 'Trang', 'Vietnamese'),
('Thure', 'Lindhardt', 'Danish'),
('Tiger', 'Shroff', 'Indian'),
('Tilda', 'Swinton', 'British'),
('Tim', 'Curry', 'British'),
('Tim', 'Robbins', 'American'),
('Tina', 'Engler', 'Swiss'),
('Tito', 'Furtado', 'Portuguese'),
('Tobey', 'Maguire', 'American'),
('Tolga', 'Sarıtaş', 'Turkish'),
('Tolga', 'Tekin', 'Turkish'),
('Tolga', 'Çevik', 'Turkish'),
('Tolgahan', 'Sayisman', 'Turkish'),
('Tolgahan', 'Sayışman', 'Turkish'),
('Tom', 'Cruise', 'American'),
('Tom', 'Cullen', 'British'),
('Tom', 'Hanks', 'American'),
('Tom', 'Hardy', 'English'),
('Tom', 'Holland', 'British'),
('Tom', 'Schilling', 'German'),
('Tom', 'Selleck', 'American'),
('Tom', 'Wilkinson', 'English'),
('Tomas', 'Villum Jensen', 'Danish'),
('Tommi', 'Korpela', 'Finnish'),
('Tommy', 'Lee Jones', 'American'),
('Toni', 'Collette', 'Australian'),
('Tony', 'Gatlif', 'Algerian'),
('Tony', 'Jaa', 'Thai'),
('Tony', 'Leung', 'Hong Kong'),
('Topi', 'Majaniemi', 'Finnish'),
('Toshirô', 'Mifune', 'Japanese'),
('Tovino', 'Thomas', 'Indian'),
('Toyin', 'Abraham', 'Nigerian'),
('Tran', 'Nu Yên-Khê', 'Vietnamese'),
('Travis', 'Fimmel', 'Australian'),
('Trond', 'Fausa', 'Norwegian'),
('Trond', 'Fausa Aurvåg', 'Norwegian'),
('Trung', 'Kien', 'Vietnamese'),
('Tsutomu', 'Tatsumi', 'Japanese'),
('Tuba', 'Buyukustun', 'Turkish'),
('Tung', 'Lam', 'Vietnamese'),
('Turo', 'Pajala', 'Finnish'),
('Tzeni', 'Karezi', 'Greek'),
('Tülin', 'Özen', 'Turkish'),
('Tōru', 'Furuya', 'Japanese'),
('Ulrich', 'Thomsen', 'Danish'),
('Ulrich', 'Tukur', 'German'),
('Uma', 'Thurman', 'American'),
('Urmila', 'Matondkar', 'Indian'),
('Valeria', 'Correa', 'Argentinian'),
('Vanda', 'Duarte', 'Portuguese'),
('Varun', 'Dhawan', 'Indian'),
('Vera', 'Farmiga', 'American'),
('Vicky', 'Kaushal', 'Indian'),
('Victor', 'Sjöström', 'Swedish'),
('Vidya', 'Balan', 'Indian'),
('Viggo', 'Mortensen', 'Danish-American'),
('Viktor', 'Kosykh', 'Russian'),
('Ville', 'Virtanen', 'Finnish'),
('Vin', 'Diesel', 'American'),
('Vincent', 'Cassel', 'French'),
('Vincent', 'Lindon', 'French'),
('Vincent', 'Perez', 'French'),
('Viola', 'Davis', 'American'),
('Viveik', 'Kalra', 'British'),
('Vladimir', 'Fogel', 'Russian'),
('Vlado', 'Novak', 'Slovenian'),
('Vlastimil', 'Brodský', 'Czech'),
('Václav', 'Neckář', 'Czech'),
('Wagner', 'Moura', 'Brazilian'),
('Wali', 'Hamid Ali', 'Pakistani'),
('Wamiq', 'Gabriel', 'Pakistani'),
('Will', 'Ferrell', 'American'),
('Will', 'Smith', 'American'),
('Willem', 'Dafoe', 'American'),
('Winona', 'Ryder', 'American'),
('Woo-sung', 'Jung', 'South Korean'),
('Wu', 'Jiang', 'Chinese'),
('Wu', 'Jing', 'Chinese'),
('Yami', 'Gautam', 'Indian'),
('Yannis', 'Tsimitselis', 'Greek'),
('Yeo-bin', 'Jeon', 'South Korean'),
('Yeong-hie', 'Seo', 'South Korean'),
('Yevgeny', 'Leonov', 'Russian'),
('Yoon', 'Jeong-il', 'South Korean'),
('Yun-seok', 'Kim', 'South Korean'),
('Yûya', 'Yagira', 'Japanese'),
('Yılmaz', 'Güney', 'Turkish'),
('Zac', 'Efron', 'American'),
('Zacharie', 'Chasseriaud', 'French'),
('Zbigniew', 'Cybulski', 'Polish'),
('Zbigniew', 'Kawęcki', 'Polish'),
('Zdena', 'Stiborová', 'Czech'),
('Zdenek', 'Mucha', 'Czech'),
('Zendaya', 'Coleman', 'American'),
('Zhang', 'Hanyu', 'Chinese'),
('Zoe', 'Saldana', 'American'),
('Zonika', 'Steyn', 'South African'),
('Zsófia', 'Psotta', 'Hungarian'),
('Zuhal', 'Olcay', 'Turkish'),
('Özgü', 'Namal', 'Turkish'),
('Şener', 'Şen', 'Turkish'),
