('AMC Empire 25', 300, 'IMAX', 'USA, New York'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Dubai'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Doha'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Kuwait City'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('AMC Empire 25', 280, 'IMAX', 'USA, New York'),
('Cineworld Leicester Square', 230, 'Standard', 'UK, London'),
('Pathé Wepler', 190, '3D', 'France, Paris'),
('MK2 Quai de Seine', 160, 'Standard', 'France, Paris'),
('Odeon Luxe Leicester Square', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Bristol', 240, 'Standard', 'UK, Bristol'),
('Cinemaxx Hamburg Dammtor', 310, '3D', 'Germany, Hamburg'),
('CineStar Original', 260, 'Standard', 'Germany, Cologne'),
('Hoyts Broadway', 200, 'IMAX', 'Australia, Sydney'),
('Hoyts Highpoint', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Chinook', 240, 'Standard', 'Canada, Calgary'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Itaim', 270, 'Standard', 'Brazil, Sao Paulo'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang U-Town', 200, 'Standard', 'China, Beijing'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Galerias Vallarta', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Fox Cineplex Sarit', 220, 'Standard', 'Kenya, Nairobi'),
('VOX Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Dubai'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Doha'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Kuwait City'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('AMC Empire 25', 280, 'IMAX', 'USA, New York'),
('Cinemark Tinseltown and XD', 320, 'IMAX', 'USA, Houston'),
('Cinépolis Lagoon', 270, 'Standard', 'Brazil, Rio de Janeiro'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('CGV Cinemas', 200, 'IMAX', 'South Korea, Seoul'),
('Cinemex', 170, '3D', 'Mexico, Mexico City'),
('Cinecittà', 320, 'IMAX', 'Italy, Rome'),
('Octagon Cinema', 160, 'IMAX', 'Russia, Moscow'),
('Ster-Kinekor', 180, 'IMAX', 'South Africa, Johannesburg'),
('Vox Cinemas', 150, 'IMAX', 'UAE, Dubai'),
('Cinescape', 300, '3D', 'Kuwait, Kuwait City'),
('City Cinema', 180, 'IMAX', 'Oman, Muscat'),
('Prime Cinemas', 150, '3D', 'Jordan, Amman'),
('Empire Cinemas', 280, 'IMAX', 'UK, London'),
('Gaumont Opéra', 190, '3D', 'France, Paris'),
('CineStar Sony Center', 260, 'Standard', 'Germany, Berlin'),
('Village Cinemas Crown', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Odeon', 170, '3D', 'Canada, Toronto'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('PVR Cinemas', 190, '3D', 'India, Mumbai'),
('Wanda Cinema', 160, 'IMAX', 'China, Beijing'),
('Shanghai Film Art Center', 200, 'Standard', 'China, Shanghai'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Fox Cineplex Sarit', 220, 'Standard', 'Kenya, Nairobi'),
('VOX Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Dubai'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Doha'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Kuwait City'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('AMC Loews Lincoln Square 13', 280, 'IMAX', 'USA, New York'),
('Arclight Cinemas Hollywood', 230, 'Standard', 'USA, Los Angeles'),
('Regal Battery Park', 280, 'IMAX', 'USA, New York'),
('Pacific Theatres at The Grove', 230, 'Standard', 'USA, Los Angeles'),
('AMC Empire 25', 280, 'IMAX', 'USA, New York'),
('Regal Union Square Stadium 14', 280, 'IMAX', 'USA, New York'),
('Laemmle Royal', 230, 'Standard', 'USA, Los Angeles'),
('Regal Battery Park', 280, 'IMAX', 'USA, New York'),
('Regal Union Square Stadium 14', 280, 'IMAX', 'USA, New York'),
('Electric Cinema Shoreditch', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Leeds', 240, 'Standard', 'UK, Leeds'),
('Electric Cinema Portobello', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Bristol', 240, 'Standard', 'UK, Bristol'),
('Odeon Luxe Leicester Square', 200, 'IMAX', 'UK, London'),
('Empire Cinemas', 280, 'IMAX', 'UK, London'),
('Odeon Luxe Leicester Square', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Bristol', 240, 'Standard', 'UK, Bristol'),
('Empire Cinemas', 280, 'IMAX', 'UK, London'),
('Gaumont Opéra', 190, '3D', 'France, Paris'),
('Pathé La Villette', 160, 'Standard', 'France, Paris'),
('Majestic Passy', 190, '3D', 'France, Paris'),
('Pathé Beaugrenelle', 160, 'Standard', 'France, Paris'),
('MK2 Bibliothèque', 160, 'Standard', 'France, Paris'),
('Pathé Wepler', 190, '3D', 'France, Paris'),
('MK2 Quai de Seine', 160, 'Standard', 'France, Paris'),
('Gaumont Opéra', 190, '3D', 'France, Paris'),
('Pathé La Villette', 160, 'Standard', 'France, Paris'),
('Majestic Passy', 190, '3D', 'France, Paris'),
('Pathé Beaugrenelle', 160, 'Standard', 'France, Paris'),
('MK2 Bibliothèque', 160, 'Standard', 'France, Paris'),
('Pathé Wepler', 190, '3D', 'France, Paris'),
('MK2 Quai de Seine', 160, 'Standard', 'France, Paris'),
('CineStar IMAX', 310, '3D', 'Germany, Berlin'),
('CineStar Original', 260, 'Standard', 'Germany, Munich'),
('Cinemaxx Hamburg Dammtor', 310, '3D', 'Germany, Hamburg'),
('CineStar Original', 260, 'Standard', 'Germany, Cologne'),
('Cinemaxx Potsdamer Platz', 310, '3D', 'Germany, Berlin'),
('CineStar Sony Center', 260, 'Standard', 'Germany, Berlin'),
('Cinemaxx Hamburg Dammtor', 310, '3D', 'Germany, Hamburg'),
('CineStar Original', 260, 'Standard', 'Germany, Cologne'),
('Cinemaxx Potsdamer Platz', 310, '3D', 'Germany, Berlin'),
('CineStar Sony Center', 260, 'Standard', 'Germany, Berlin'),
('Hoyts Broadway', 200, 'IMAX', 'Australia, Sydney'),
('Village Cinemas Southland', 230, 'Standard', 'Australia, Melbourne'),
('Electric Cinema Portobello', 200, 'IMAX', 'Australia, Sydney'),
('Everyman Cinema Bristol', 240, 'Standard', 'Australia, Melbourne'),
('Hoyts Broadway', 200, 'IMAX', 'Australia, Sydney'),
('Hoyts Highpoint', 230, 'Standard', 'Australia, Melbourne'),
('Village Cinemas Southland', 230, 'Standard', 'Australia, Melbourne'),
('Electric Cinema Portobello', 200, 'IMAX', 'Australia, Sydney'),
('Everyman Cinema Bristol', 240, 'Standard', 'Australia, Melbourne'),
('Hoyts Highpoint', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Vancouver', 240, 'Standard', 'Canada, Vancouver'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Chinook', 240, 'Standard', 'Canada, Calgary'),
('Cineplex Odeon International Village', 240, 'Standard', 'Canada, Vancouver'),
('Cinemark Tinseltown and XD', 320, 'IMAX', 'USA, Houston'),
('Cineplex Odeon', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Chinook', 240, 'Standard', 'Canada, Calgary'),
('Cineplex Odeon International Village', 240, 'Standard', 'Canada, Vancouver'),
('Cinemark Tinseltown and XD', 320, 'IMAX', 'USA, Houston'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Itaim', 270, 'Standard', 'Brazil, Sao Paulo'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Itaim', 270, 'Standard', 'Brazil, Sao Paulo'),
('Cinépolis Lagoon', 270, 'Standard', 'Brazil, Rio de Janeiro'),
('Cinépolis Lagoon', 270, 'Standard', 'Brazil, Rio de Janeiro'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Itaim', 270, 'Standard', 'Brazil, Sao Paulo'),
('Cinépolis Lagoon', 270, 'Standard', 'Brazil, Rio de Janeiro'),
('Cinépolis Lagoon', 270, 'Standard', 'Brazil, Rio de Janeiro'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang U-Town', 200, 'Standard', 'China, Beijing'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang U-Town', 200, 'Standard', 'China, Beijing'),
('Wanda Cinema', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang Joy City', 200, 'Standard', 'China, Beijing'),
('Wanda Cinema', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang Joy City', 200, 'Standard', 'China, Beijing'),
('Shanghai Film Art Center', 200, 'Standard', 'China, Shanghai'),
('Shanghai Film Art Center', 200, 'Standard', 'China, Shanghai'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Galerias Vallarta', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Galerias Vallarta', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinemex', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinemex', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Regal Battery Park', 280, 'IMAX', 'USA, New York'),
('Pacific Theatres at The Grove', 230, 'Standard', 'USA, Los Angeles'),
('AMC Empire 25', 200, 'IMAX', 'USA, New York'),
('Regal Union Square Stadium 14', 280, 'IMAX', 'USA, New York'),
('Laemmle Royal', 230, 'Standard', 'USA, Los Angeles'),
('Cineworld Leicester Square', 230, 'Standard', 'UK, London'),
('Odeon Luxe Leicester Square', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Bristol', 240, 'Standard', 'UK, Bristol'),
('Empire Cinemas', 280, 'IMAX', 'UK, London'),
('Pathé Wepler', 190, '3D', 'France, Paris'),
('MK2 Quai de Seine', 160, 'Standard', 'France, Paris'),
('Gaumont Opéra', 190, '3D', 'France, Paris'),
('Cinemaxx Hamburg Dammtor', 310, '3D', 'Germany, Hamburg'),
('CineStar Original', 260, 'Standard', 'Germany, Cologne'),
('CineStar Sony Center', 260, 'Standard', 'Germany, Berlin'),
('Hoyts Broadway', 200, 'IMAX', 'Australia, Sydney'),
('Hoyts Highpoint', 230, 'Standard', 'Australia, Melbourne'),
('Village Cinemas Crown', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Chinook', 240, 'Standard', 'Canada, Calgary'),
('Cineplex Odeon International Village', 240, 'Standard', 'Canada, Vancouver'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Itaim', 270, 'Standard', 'Brazil, Sao Paulo'),
('Cinépolis Lagoon', 270, 'Standard', 'Brazil, Rio de Janeiro'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang U-Town', 200, 'Standard', 'China, Beijing'),
('Wanda Cinema', 160, 'IMAX', 'China, Beijing'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('CGV Cinemas', 200, 'IMAX', 'South Korea, Seoul'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Galerias Vallarta', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinemex', 170, '3D', 'Mexico, Mexico City'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Cinecittà', 320, 'IMAX', 'Italy, Rome'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Octagon Cinema', 160, 'IMAX', 'Russia, Moscow'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Cinepolis Forum Buenavista', 280, 'IMAX', 'Mexico, Mexico City'),
('Cinemex Reforma', 230, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Perisur', 200, '3D', 'Mexico, Mexico City'),
('Cinemark Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinepolis JK Iguatemi', 260, 'Standard', 'Brazil, Sao Paulo'),
('Kinoplex Shopping Leblon', 220, 'IMAX', 'Brazil, Rio de Janeiro'),
('PVR Phoenix Mills', 190, '3D', 'India, Mumbai'),
('INOX R-City', 220, 'Standard', 'India, Mumbai'),
('Carnival Cinemas High Street Phoenix', 160, 'IMAX', 'India, Mumbai'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang Joy City', 200, 'Standard', 'China, Beijing'),
('Wanda Cinema Tianjin', 290, '3D', 'China, Tianjin'),
('Toho Cinemas Shinjuku', 240, 'Standard', 'Japan, Tokyo'),
('United Cinemas Aqua City Odaiba', 190, 'IMAX', 'Japan, Tokyo'),
('Toho Cinemas Umeda', 170, '3D', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema World Tower', 230, 'Standard', 'South Korea, Seoul'),
('Megabox COEX', 200, '3D', 'South Korea, Seoul'),
('Ster-Kinekor Mall of Africa', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro Canal Walk', 200, 'Standard', 'South Africa, Cape Town'),
('Ster-Kinekor I langa Mall', 150, '3D', 'South Africa, Nelspruit'),
('Hoyts Melbourne Central', 190, '3D', 'Australia, Melbourne'),
('Event Cinemas George Street', 220, 'Standard', 'Australia, Sydney'),
('Hoyts Highpoint', 160, 'IMAX', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Vancouver', 240, 'Standard', 'Canada, Vancouver'),
('Cineplex Odeon International Village', 240, 'Standard', 'Canada, Vancouver'),
('Pathé Beaugrenelle', 220, 'IMAX', 'France, Paris'),
('UGC Ciné Cité Les Halles', 250, 'Standard', 'France, Paris'),
('Le Grand Rex', 300, '3D', 'France, Paris'),
('Cinemaxx Potsdamer Platz', 310, '3D', 'Germany, Berlin'),
('UCI Kinowelt Ruhr Park', 260, 'Standard', 'Germany, Bochum'),
('Cineplex Cologne', 200, 'IMAX', 'Germany, Cologne'),
('Vue West End', 230, 'Standard', 'UK, London'),
('Everyman Cinema Leeds', 240, 'Standard', 'UK, Leeds'),
('Odeon Luxe Leicester Square', 200, 'IMAX', 'UK, London'),
('Cinépolis RioMar Recife', 280, 'IMAX', 'Brazil, Recife'),
('Kinoplex ParkShopping', 230, 'Standard', 'Brazil, Brasilia'),
('UCI Kinoplex NorteShopping', 200, '3D', 'Brazil, Rio de Janeiro'),
('Cinemark Shopping Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinesystem Rio Anil Shopping', 260, 'Standard', 'Brazil, Sao Luis'),
('Kinoplex Vila Olímpia', 220, 'IMAX', 'Brazil, Sao Paulo'),
('Cinépolis Iguatemi Esplanada', 190, '3D', 'Brazil, Sorocaba'),
('Cinemark Shopping Metrô Tucuruvi', 240, 'Standard', 'Brazil, Sao Paulo'),
('Cinépolis Parque Maia', 290, 'IMAX', 'Brazil, Guarulhos'),
('UCI Kinoplex Shopping da Ilha', 170, 'Standard', 'Brazil, Sao Luis'),
('PVR Select City Walk', 190, '3D', 'India, Delhi'),
('INOX Nehru Place', 220, 'Standard', 'India, Delhi'),
('Carnival Cinemas High Street Phoenix', 160, 'IMAX', 'India, Mumbai'),
('PVR Phoenix Marketcity', 310, 'IMAX', 'India, Pune'),
('INOX Amanora Mall', 260, 'Standard', 'India, Pune'),
('Cinepolis Seasons Mall', 220, '3D', 'India, Pune'),
('PVR Forum Mall', 190, 'Standard', 'India, Bangalore'),
('INOX Garuda Mall', 240, 'IMAX', 'India, Bangalore'),
('Cinepolis Orion Mall', 290, '3D', 'India, Bangalore'),
('PVR Inorbit Mall', 170, 'Standard', 'India, Hyderabad'),
('Wanda Cinema Xidan', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Wangfujing', 200, 'Standard', 'China, Beijing'),
('Wanda Cinema Tianjin', 290, '3D', 'China, Tianjin'),
('CGV Cinema West Nanjing', 230, '3D', 'China, Nanjing'),
('Wanda Cinema Chengdu', 200, 'Standard', 'China, Chengdu'),
('Bona Cinema Chunxi Road', 170, 'IMAX', 'China, Chengdu'),
('Wanda Cinema Guangzhou', 220, 'Standard', 'China, Guangzhou'),
('Bona Cinema Beijing Road', 290, '3D', 'China, Guangzhou'),
('CGV Cinema Shenzhen', 180, 'Standard', 'China, Shenzhen'),
('Wanda Cinema Futian', 250, 'IMAX', 'China, Shenzhen'),
('Toho Cinemas Hibiya', 240, 'Standard', 'Japan, Tokyo'),
('United Cinemas Toyosu', 190, 'IMAX', 'Japan, Tokyo'),
('Toho Cinemas Umeda', 170, '3D', 'Japan, Osaka'),
('United Cinemas Osaka', 220, 'Standard', 'Japan, Osaka'),
('Toho Cinemas Namba', 200, 'IMAX', 'Japan, Osaka'),
('United Cinemas Hiroshima', 160, 'Standard', 'Japan, Hiroshima'),
('Toho Cinemas Yokohama', 190, '3D', 'Japan, Yokohama'),
('United Cinemas Kawasaki', 240, 'Standard', 'Japan, Kawasaki'),
('Toho Cinemas Kawasaki', 290, 'IMAX', 'Japan, Kawasaki'),
('United Cinemas Sapporo', 170, '3D', 'Japan, Sapporo'),
('Lotte Cinema World Tower', 230, 'Standard', 'South Korea, Seoul'),
('Megabox COEX', 200, '3D', 'South Korea, Seoul'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Megabox Haeundae', 200, 'IMAX', 'South Korea, Busan'),
('CGV Busan Seomyeon', 170, 'Standard', 'South Korea, Busan'),
('Lotte Cinema Daegu', 220, '3D', 'South Korea, Daegu'),
('Megabox Daejeon', 290, 'Standard', 'South Korea, Daejeon'),
('CGV Incheon', 260, 'IMAX', 'South Korea, Incheon'),
('Lotte Cinema Ulsan', 220, 'Standard', 'South Korea, Ulsan'),
('Ster-Kinekor Mall of Africa', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro Canal Walk', 200, 'Standard', 'South Africa, Cape Town'),
('Ster-Kinekor Ilanga Mall', 150, '3D', 'South Africa, Nelspruit'),
('Nu Metro Menlyn Park', 310, 'IMAX', 'South Africa, Pretoria'),
('Ster-Kinekor Sandton City', 260, 'Standard', 'South Africa, Johannesburg'),
('Nu Metro Boardwalk', 220, '3D', 'South Africa, Port Elizabeth'),
