('Aamir', 'Khan', 'm'),
('Moritz', 'Bleibtreu', 'm'),
('Morten', 'Grunwald', 'm'),
('Moses', 'Chan', 'm'),
('Mrunal', 'Thakur', 'f'),
('Myriam', 'Mezières', 'f'),
('Mélanie', 'Laurent', 'f'),
('Münir', 'Özkul', 'm'),
('Nagarjuna', 'Akkineni', 'm'),
('Nana', 'Patekar', 'm'),
('Nanni', 'Moretti', 'm'),
('Naomi', 'Watts', 'f'),
('Nargis', 'Dutt', 'f'),
('Naseeruddin', 'Shah', 'm'),
('Natalia', 'Oreiro', 'f'),
('Natalie', 'Dormer', 'f'),
('Natalie', 'Portman', 'f'),
('Natalie', 'Press', 'f'),
('Natasha', 'Jaramillo', 'f'),
('Nathaniel', 'Brown', 'm'),
('Nawapol', 'Puwapornskul', 'm'),
('Nawazuddin', 'Siddiqui', 'm'),
('Necmettin', 'Cobanoglu', 'm'),
('Necmettin', 'Çobanoglu', 'm'),
('Neha', 'Dhupia', 'f'),
('Neil', 'Dudgeon', 'm'),
('Neil', 'Nitin Mukesh', 'm'),
('Nelly', 'Karim', 'f'),
('Neve', 'Campbell', 'f'),
('Ngo', 'Thanh Van', 'f'),
('Ngoc Hiep', 'Nguyen', 'f'),
('Nick', 'Nolte', 'm'),
('Nicolas', 'Duvauchelle', 'm'),
('Nicole', 'Fortuin', 'f'),
('Nicole', 'Kidman', 'f'),
('Nikki', 'Blonsky', 'f'),
('Nikolaj', 'Lie Kaas', 'm'),
('Nikolay', 'Cherkasov', 'm'),
('Nilbio', 'Torres', 'm'),
('Nils', 'Ahrén', 'm'),
('Nimrat', 'Kaur', 'f'),
('Nina', 'Hoss', 'f'),
('Nobuko', 'Miyamoto', 'f'),
('Noel', 'Saldarriaga', 'm'),
('Noomi', 'Rapace', 'f'),
('Noor', 'Bukhari', 'f'),
('Norma', 'Aleandro', 'f'),
('Nour', 'El-Sherif', 'm'),
('Nushrat', 'Bharucha', 'f'),
('O-Shea', 'Jackson Jr.', 'm'),
('OC', 'Ukeje', 'm'),
('Oh-seong', 'Yoo', 'm'),
('Ole', 'Lemmeke', 'm'),
('Oleg', 'Menshikov', 'm'),
('Olga', 'Breno', 'f'),
('Oliver', 'Bodart', 'm'),
('Olivier', 'Gourmet', 'm'),
('Olivier', 'Martinez', 'm'),
('Omar', 'Sharif', 'm'),
('Omar', 'Sy', 'm'),
('Ondrej', 'Ladicky', 'm'),
('Ondrej', 'Vetchý', 'm'),
('Oscar', 'Isaac', 'm'),
('Oskar', 'Werner', 'm'),
('Otto', 'Jesper Berg', 'm'),
('Owen', 'Wilson', 'm'),
('Ozkan', 'Akca', 'm'),
('Paddy', 'Considine', 'm'),
('Pamela', 'Tola', 'f'),
('Pankaj', 'Tripathi', 'm'),
('Paprika', 'Steen', 'f'),
('Paresh', 'Rawal', 'm'),
('Park', 'Chan-wook', 'm'),
('Parviz', 'Parastui', 'm'),
('Patrick', 'Lapp', 'm'),
('Patrick', 'Wilson', 'm'),
('Paul', 'Newman', 'm'),
('Paulina', 'Dávila', 'f'),
('Paulina', 'García', 'f'),
('Paulo', 'Betti', 'm'),
('Paulo', 'Villas Boas', 'm'),
('Pavel', 'Liška', 'm'),
('Pedro', 'Almodóvar', 'm'),
('Pegah', 'Ferydoni', 'f'),
('Pelle', 'Hvenegaard', 'm'),
('Pelé', 'Dos Santos', 'm'),
('Penelope', 'Tsilika', 'f'),
('Penélope', 'Cruz', 'f'),
('Per', 'Oscarsson', 'm'),
('Pertti', 'Kurikka', 'm'),
('Peter', 'Franzén', 'm'),
('Peter', 'O-Toole', 'm'),
('Petra', 'Moro', 'f'),
('Phanom', 'Yeermun', 'm'),
('Pierce', 'Brosnan', 'm'),
('Pierre', 'Vernooy', 'm'),
('Pihla', 'Viitala', 'f'),
('Piotr', 'Garlicki', 'm'),
('Preity', 'Zinta', 'f'),
('Priyanka', 'Chopra', 'f'),
('Pål', 'Sverre', 'm'),
('Qi', 'Shu', 'f'),
('Qu', 'Chuxiao', 'm'),
('Quim', 'Gutiérrez', 'm'),
('Rachel', 'McAdams', 'f'),
('Radhika', 'Apte', 'f'),
('Radoslav', 'Basa', 'm'),
('Rady', 'Gamal', 'm'),
('Rahul', 'Bhat', 'm'),
('Rahul', 'Khanna', 'm'),
('Raj', 'Kirn', 'm'),
('Rajat', 'Kapoor', 'm'),
('Rajesh', 'Khanna', 'm'),
('Rajkummar', 'Rao', 'm'),
('Rajneesh', 'Duggal', 'm'),
('Rakul', 'Preet Singh', 'f'),
('Rami', 'Malek', 'm'),
('Ramsey', 'Nouah', 'm'),
('Ranbir', 'Kapoor', 'm'),
('Randeep', 'Hooda', 'm'),
('Ranveer', 'Singh', 'm'),
('Rasim', 'Öztekin', 'm'),
('Raul', 'Cortez', 'm'),
('Raveena', 'Tandon', 'f'),
('Ray', 'Winstone', 'm'),
('Regina', 'Casé', 'f'),
('Renée', 'Soutendijk', 'f'),
('Ricardo', 'Darín', 'm'),
('Rickson', 'Tevez', 'm'),
('Rishi', 'Kapoor', 'm'),
('Riteish', 'Deshmukh', 'm'),
('Riz', 'Ahmed', 'm'),
('Robert', 'De Niro', 'm'),
('Robert', 'Donat', 'm'),
('Robert', 'Downey Jr.', 'm'),
('Robert', 'Duvall', 'm'),
('Robert', 'Pattinson', 'm'),
('Robert', 'Skjærstad', 'm'),
('Roberto', 'Benigni', 'm'),
('Roberto', 'Farías', 'm'),
('Robin', 'Williams', 'm'),
('Robin', 'Wright', 'f'),
('Rod', 'Taylor', 'm'),
('Rodrigo', 'Santoro', 'm'),
('Roman', 'Griffin Davis', 'm'),
('Ronak', 'Patani', 'm'),
('Rosamund', 'Pike', 'f'),
('Rosanna', 'Arquette', 'f'),
('Rose', 'Byrne', 'f'),
('Roy', 'Chiao', 'm'),
('Rumi', 'Hiiragi', 'f'),
('Rupert', 'Grint', 'm'),
('Russell', 'Crowe', 'm'),
('Ruth', 'Ramos', 'f'),
('Ryan', 'Gosling', 'm'),
('Ryan', 'Reynolds', 'm'),
('Ryo', 'Ishibashi', 'f'),
('Rémy', 'Girard', 'm'),
('Sabine', 'Azéma', 'f'),
('Sachiko', 'Hidari', 'f'),
('Sadiq', 'Daba', 'm'),
('Saeed', 'Khosravi', 'm'),
('Saffron', 'Burrows', 'f'),
('Saif', 'Ali Khan', 'm'),
('Salma', 'Hayek', 'f'),
('Salmaan', 'Peerzada', 'm'),
('Salman', 'Ahmed', 'm'),
('Salman', 'Khan', 'm'),
('Sam', 'Lee', 'm'),
('Sam', 'Neill', 'm'),
('Sam', 'Riley', 'm'),
('Sam', 'Worthington', 'm'),
('Samiya', 'Mumtaz', 'f'),
('Samuel', 'Kuosmanen', 'm'),
('Samuel', 'L. Jackson', 'm'),
('Sandra', 'Bullock', 'f'),
('Sandrine', 'Bonnaire', 'f'),
('Sandro', 'Panseri', 'm'),
('Sanjay', 'Dutt', 'm'),
('Santiago', 'Cabrera', 'm'),
('Sanya', 'Malhotra', 'f'),
('Saoirse', 'Ronan', 'f'),
('Sarmad', 'Khoosat', 'm'),
('Sasha', 'Lane', 'f'),
('Satu', 'Silvo', 'f'),
('Scarlett', 'Johansson', 'f'),
('Scoot', 'McNairy', 'm'),
('Sean', 'Astin', 'm'),
('Sean', 'Connery', 'm'),
('Sean', 'Penn', 'm'),
('Seidi', 'Haarla', 'f'),
('Selton', 'Mello', 'm'),
('Sergey', 'Dreyden', 'm'),
('Seth', 'Rogen', 'm'),
('Setsuko', 'Hara', 'f'),
('Seu', 'Jorge', 'm'),
('Seung-ryong', 'Ryu', 'm'),
('Seung-yeon', 'Lee', 'f'),
('Shaan', 'Shahid', 'm'),
('Shabana', 'Azmi', 'f'),
('Shah Rukh', 'Khan', 'm'),
('Shahab', 'Hosseini', 'm'),
('Shahbaz', 'Khan', 'm'),
('Shahid', 'Kapoor', 'm'),
('Shahrukh', 'Khan', 'm'),
('Shalim', 'Ortiz', 'm'),
('Shammi', 'Kapoor', 'm'),
('Shane', 'Carruth', 'm'),
('Sharlto', 'Copley', 'm'),
('Sharman', 'Joshi', 'm'),
('Sharon', 'Stone', 'f'),
('Shawn', 'Yue', 'm'),
('Sherif', 'Desoky', 'm'),
('Shia', 'LaBeouf', 'm'),
('Shiang-chyi', 'Chen', 'f'),
('Shincho', 'Sakurai', 'f'),
('Shraddha', 'Kapoor', 'f'),
('Shu', 'Qi', 'f'),
('Sid', 'Lucero', 'm'),
('Sidharth', 'Malhotra', 'm'),
('Silje', 'Reinaamo', 'f'),
('Simon', 'J. Berger', 'm'),
('Simon', 'Pegg', 'm'),
('Simon', 'Srebnik', 'm'),
('Siraphan', 'Wattanajinda', 'f'),
('So-yeon', 'Jang', 'f'),
('Sohai', 'Ali Abro', 'f'),
('Sohrab', 'Mohammad Reza Golzar', 'm'),
('Sola', 'Sobowale', 'f'),
('Sonakshi', 'Sinha', 'f'),
('Sonam', 'Kapoor', 'f'),
('Song', 'Kang-ho', 'm'),
('Sophia', 'Loren', 'f'),
('Sophie', 'Marceau', 'f'),
('Soumitra', 'Chatterjee', 'm'),
('Sridevi', 'Kapoor', 'f'),
('Stellan', 'Skarsgård', 'm'),
('Stephen', 'Chow', 'm'),
('Stephen', 'Rea', 'm'),
('Stephen', 'Segerman', 'm'),
('Steve', 'Buscemi', 'm'),
('Steve', 'Carell', 'm'),
('Steve', 'McQueen', 'm'),
('Steve', 'Zahn', 'm'),
('Stéphane', 'Audran', 'f'),
('Su-jeong', 'Lim', 'f'),
('Suk-kyu', 'Han', 'm'),
('Sultan', 'Rahi', 'm'),
('Sunil', 'Shetty', 'm'),
('Sunny', 'Deol', 'm'),
('Sunny', 'Leone', 'f'),
('Supphasit', 'Kansen', 'm'),
('Supriya', 'Choudhury', 'f'),
('Susana', 'Giménez', 'f'),
('Sushant', 'Singh', 'm'),
('Sushant', 'Singh Rajput', 'm'),
('Sushil', 'Kumar', 'm'),
('Svein', 'Andreas Holst', 'm'),
('Sven-Bertil', 'Taube', 'm'),
('Sylvester', 'Stallone', 'm'),
('Sylvia', 'Chang', 'f'),
('Sylvia', 'Sidney', 'f'),
('Sylvie', 'Testud', 'f'),
('Taapsee', 'Pannu', 'f'),
('Tabu', 'Hashmi', 'f'),
('Tadanobu', 'Asano', 'm'),
('Tae-ri', 'Kim', 'f'),
('Taika', 'Waititi', 'm'),
('Takahiro', 'Nishijima', 'm'),
('Takashi', 'Shimura', 'm'),
('Takeshi', 'Kitano', 'm'),
('Tamer', 'Levent', 'm'),
('Taner', 'Birsel', 'm'),
('Tansu', 'Bicer', 'm'),
('Tatiana', 'Vilhelmová', 'f'),
('Tatsuya', 'Fuji', 'm'),
('Tatsuya', 'Fujiwara', 'm'),
('Tatsuya', 'Nakadai', 'm'),
('Tenoch', 'Huerta', 'm'),
('Teresa', 'Gutiérrez', 'f'),
('Terrence', 'Howard', 'm'),
('Tessa', 'Thompson', 'f'),
('Thabo', 'Mbeki', 'm'),
('Thanasis', 'Vengos', 'm'),
('Thomas', 'Jane', 'm'),
('Thomas', 'Mahlomotja', 'm'),
('Thomas', 'Turgoose', 'm'),
('Thommy', 'Berggren', 'm'),
('Thu', 'Trang', 'f'),
('Thure', 'Lindhardt', 'm'),
('Tiger', 'Shroff', 'm'),
('Tilda', 'Swinton', 'f'),
('Tim', 'Curry', 'm'),
('Tim', 'Robbins', 'm'),
('Tina', 'Engler', 'f'),
('Tito', 'Furtado', 'm'),
('Tobey', 'Maguire', 'm'),
('Tolga', 'Sarıtaş', 'm'),
('Tolga', 'Tekin', 'm'),
('Tolga', 'Çevik', 'm'),
('Tolgahan', 'Sayisman', 'm'),
('Tolgahan', 'Sayışman', 'm'),
('Tom', 'Cruise', 'm'),
('Tom', 'Cullen', 'm'),
('Tom', 'Hanks', 'm'),
('Tom', 'Hardy', 'm'),
('Tom', 'Holland', 'm'),
('Tom', 'Schilling', 'm'),
('Tom', 'Selleck', 'm'),
('Tom', 'Wilkinson', 'm'),
('Tomas', 'Villum Jensen', 'm'),
('Tommi', 'Korpela', 'm'),
('Tommy', 'Lee Jones', 'm'),
('Toni', 'Collette', 'f'),
('Tony', 'Gatlif', 'm'),
('Tony', 'Jaa', 'm'),
('Tony', 'Leung', 'm'),
('Topi', 'Majaniemi', 'm'),
('Toshirô', 'Mifune', 'm'),
('Tovino', 'Thomas', 'm'),
('Toyin', 'Abraham', 'f'),
('Tran', 'Nu Yên-Khê', 'f'),
('Travis', 'Fimmel', 'm'),
('Trond', 'Fausa', 'm'),
('Trond', 'Fausa Aurvåg', 'm'),
('Trung', 'Kien', 'm'),
('Tsutomu', 'Tatsumi', 'm'),
('Tuba', 'Buyukustun', 'f'),
('Tung', 'Lam', 'm'),
('Turo', 'Pajala', 'm'),
('Tzeni', 'Karezi', 'f'),
('Tülin', 'Özen', 'f'),
('Tōru', 'Furuya', 'm'),
('Ulrich', 'Thomsen', 'm'),
('Ulrich', 'Tukur', 'm'),
('Uma', 'Thurman', 'f'),
('Urmila', 'Matondkar', 'f'),
('Valeria', 'Correa', 'f'),
('Vanda', 'Duarte', 'f'),
('Varun', 'Dhawan', 'm'),
('Vera', 'Farmiga', 'f'),
('Vicky', 'Kaushal', 'm'),
('Victor', 'Sjöström', 'm'),
('Vidya', 'Balan', 'f'),
('Viggo', 'Mortensen', 'm'),
('Viktor', 'Kosykh', 'm'),
('Ville', 'Virtanen', 'm'),
('Vin', 'Diesel', 'm'),
('Vincent', 'Cassel', 'm'),
('Vincent', 'Lindon', 'm'),
('Vincent', 'Perez', 'm'),
('Viola', 'Davis', 'f'),
('Viveik', 'Kalra', 'm'),
('Vladimir', 'Fogel', 'm'),
('Vlado', 'Novak', 'm'),
('Vlastimil', 'Brodský', 'm'),
('Václav', 'Neckář', 'm'),
('Wagner', 'Moura', 'm'),
('Wali', 'Hamid Ali', 'm'),
('Wamiq', 'Gabriel', 'm'),
('Will', 'Ferrell', 'm'),
('Will', 'Smith', 'm'),
('Willem', 'Dafoe', 'm'),
('Winona', 'Ryder', 'f'),
('Woo-sung', 'Jung', 'm'),
('Wu', 'Jiang', 'm'),
('Wu', 'Jing', 'm'),
('Yami', 'Gautam', 'f'),
('Yannis', 'Tsimitselis', 'm'),
('Yeo-bin', 'Jeon', 'f'),
('Yeong-hie', 'Seo', 'f'),
('Yevgeny', 'Leonov', 'm'),
('Yoon', 'Jeong-il', 'm'),
('Yun-seok', 'Kim', 'm'),
('Yûya', 'Yagira', 'm'),
('Yılmaz', 'Güney', 'm'),
('Zac', 'Efron', 'm'),
('Zacharie', 'Chasseriaud', 'm'),
('Zbigniew', 'Cybulski', 'm'),
('Zbigniew', 'Kawęcki', 'm'),
('Zdena', 'Stiborová', 'f'),
('Zdenek', 'Mucha', 'm'),
('Zendaya', 'Coleman', 'f'),
('Zhang', 'Hanyu', 'm'),
('Zoe', 'Saldana', 'f'),
('Zonika', 'Steyn', 'f'),
('Zsófia', 'Psotta', 'f'),
('Zuhal', 'Olcay', 'f'),
('Özgü', 'Namal', 'f'),
('Şener', 'Şen', 'm'),
