('Aabis', 'Raza', 'Pakistani'),
('Nesli', 'Çölgeçen', 'Turkish'),
('Nguyen', 'Hanh', 'Vietnamese'),
('Nguyen', 'Hoang Diep', 'Vietnamese'),
('Nguyen', 'Phan Quang Binh', 'Vietnamese'),
('Nguyen', 'Thi Minh Ngoc', 'Vietnamese'),
('Nguyen', 'Thi Tham', 'Vietnamese'),
('Nguyen', 'Vinh Son', 'Vietnamese'),
('Nguyen', 'Vo Nghiem Minh', 'Vietnamese'),
('Nicanor', 'Loreti', 'Chilean'),
('Nicholas', 'Ray', 'American'),
('Nicolas', 'Provost', 'Belgian'),
('Nicolas', 'Wadimoff', 'Swiss'),
('Nicolas', 'Winding Refn', 'Danish'),
('Nicolás', 'Goldbart', 'Argentinian'),
('Niki', 'Caro', 'New Zealander'),
('Nikita', 'Mikhalkov', 'Russian'),
('Nikkhil', 'Advani', 'Indian'),
('Nikolaj', 'Arcel', 'Danish'),
('Nikos', 'Kavoukidis', 'Greek'),
('Nikos', 'Koundouros', 'Greek'),
('Nils', 'Gaup', 'Norwegian'),
('Nils', 'Malmros', 'Danish'),
('Nina', 'Grünfeld', 'Norwegian'),
('Nitesh', 'Tiwari', 'Indian'),
('Niyi', 'Akinmolayan', 'Nigerian'),
('Nontawat', 'Numbenchapol', 'Thai'),
('Norman', 'Jewison', 'Canadian'),
('Nouchka', 'van Brakel', 'Dutch'),
('Nuri', 'Bilge Ceylan', 'Turkish'),
('Néstor', 'Montalbano', 'Argentinian'),
('Ole', 'Bornedal', 'Danish'),
('Oliver', 'Hermanus', 'South African'),
('Oliver', 'Hirschbiegel', 'German'),
('Oliver', 'Schmitz', 'South African'),
('Oliver', 'Stone', 'American'),
('Olivier', 'Assayas', 'French'),
('Olli', 'Saarela', 'Finnish'),
('Omar', 'Shahin', 'Egyptian'),
('Ondrej', 'Trojan', 'Czech'),
('Orson', 'Welles', 'American'),
('Otto', 'Schwarz', 'Austrian'),
('Pablo', 'Larrain', 'Chilean'),
('Pablo', 'Trapero', 'Argentinian'),
('Paddy', 'Considine', 'British'),
('Pal', 'Sletaune', 'Norwegian'),
('Pantelis', 'Kanarakis', 'Greek'),
('Pantelis', 'Voulgaris', 'Greek'),
('Park', 'Chan-wook', 'South Korean'),
('Park', 'Hoon-jung', 'South Korean'),
('Parviz', 'Kimiai', 'Iranian'),
('Patricia', 'Cardoso', 'Colombian'),
('Patricio', 'Guzmán', 'Chilean'),
('Patrick', 'Tam', 'Hong Kong'),
('Patty', 'Jenkins', 'American'),
('Paul', 'Ehlers', 'South African'),
('Paul', 'Greengrass', 'British'),
('Paul', 'Thomas Anderson', 'American'),
('Paul', 'Verhoeven', 'Dutch'),
('Paween', 'Purijitpanya', 'Thai'),
('Pawel', 'Pawlikowski', 'Polish'),
('Paweł', 'Maślona', 'Polish'),
('Paweł', 'Pawlikowski', 'Polish'),
('Pedro', 'Almodóvar', 'Spanish'),
('Pedro', 'Costa', 'Portuguese'),
('Pedro', 'Morelli', 'Brazilian'),
('Pekka', 'Lehto', 'Finnish'),
('Pen-Ek', 'Ratanaruang', 'Thai'),
('Penny', 'Marshall', 'American'),
('Per', 'Fly', 'Danish'),
('Pernilla', 'August', 'Swedish'),
('Peter', 'Jackson', 'New Zealander'),
('Peter', 'Lindholm', 'Finnish'),
('Peter', 'Mullan', 'Scottish'),
('Peter', 'Weir', 'Australian'),
('Petter', 'Næss', 'Norwegian'),
('Phan', 'Dang Di', 'Vietnamese'),
('Philip', 'Noyce', 'Australian'),
('Philipp', 'Leinemann', 'German'),
('Pimpaka', 'Towira', 'Thai'),
('Piotr', 'Szulkin', 'Polish'),
('Piotr', 'Trzaskalski', 'Polish'),
('Pirjo', 'Honkasalo', 'Finnish'),
('Prabhu', 'Deva', 'Indian'),
('Prachya', 'Pinkaew', 'Thai'),
('Prakash', 'Mehra', 'Indian'),
('Preston', 'Sturges', 'American'),
('Priyadarshan', 'Soman Nair', 'Indian'),
('Pál', 'Ferenc', 'Hungarian'),
('Pål', 'Sletaune', 'Norwegian'),
('Péter', 'Gárdos', 'Hungarian'),
('Quentin', 'Tarantino', 'American'),
('Radwan', 'El Kashef', 'Egyptian'),
('Rafael', 'Cárdenas', 'Mexican'),
('Rainer', 'Werner Fassbinder', 'German'),
('Raj', 'Kapoor', 'Indian'),
('Raj', 'Khosla', 'Indian'),
('Raj', 'Kumar Gupta', 'Indian'),
('Raj', 'Kumar Santoshi', 'Indian'),
('Raj', 'Nidimoru', 'Indian'),
('Rajiv', 'Rai', 'Indian'),
('Rajkumar', 'Hirani', 'Indian'),
('Rakesh', 'Roshan', 'Indian'),
('Rakeysh', 'Omprakash Mehra', 'Indian'),
('Rakhshan', 'Bani-Etemad', 'Iranian'),
('Ralph', 'Fiennes', 'British'),
('Ram', 'Gopal Varma', 'Indian'),
('Ramesh', 'Sippy', 'Indian'),
('Rasoul', 'Sadr-Ameli', 'Iranian'),
('Raul', 'Ruiz', 'Chilean'),
('Ray', 'Lawrence', 'Australian'),
('Reha', 'Erdem', 'Turkish'),
('Reis', 'Çelik', 'Turkish'),
('Renny', 'Harlin', 'Finnish'),
('Reza', 'Mirkarimi', 'Iranian'),
('Rian', 'Johnson', 'American'),
('Ricardo', 'Coral-Dorado', 'Colombian'),
('Richard', 'Attenborough', 'British'),
('Richard', 'Curtis', 'British'),
('Richard', 'Donner', 'American'),
('Richard', 'Linklater', 'American'),
('Ridley', 'Scott', 'British'),
('Ringo', 'Lam', 'Hong Kong'),
('Rirkrit', 'Tiravanija', 'Thai'),
('Ritwik', 'Ghatak', 'Indian'),
('Roar', 'Uthaug', 'Norwegian'),
('Rob', 'Reiner', 'American'),
('Robert', 'Altman', 'American'),
('Robert', 'Bresson', 'French'),
('Robert', 'Eggers', 'American'),
('Robert', 'Rodriguez', 'American'),
('Robert', 'Zemeckis', 'American'),
('Roberto', 'Benigni', 'Italian'),
('Roberto', 'Rossellini', 'Italian'),
('Rodrigo', 'Sepúlveda', 'Chilean'),
('Roel', 'Reine', 'Dutch'),
('Roger', 'Donaldson', 'New Zealander'),
('Rogério', 'Sganzerla', 'Brazilian'),
('Rohit', 'Dhawan', 'Indian'),
('Rohit', 'Shetty', 'Indian'),
('Roland', 'Emmerich', 'South African'),
('Roland', 'Vranik', 'Hungarian'),
('Roman', 'Polanski', 'French-Polish'),
('Ron', 'Howard', 'American'),
('Roy', 'Andersson', 'Swedish'),
('Ruben', 'Östlund', 'Swedish'),
('Rubén', 'Mendoza', 'Colombian'),
('Rubén', 'Mora', 'Colombian'),
('Rumi', 'Jaffery', 'Indian'),
('Rune', 'Denstad Langlo', 'Norwegian'),
('Russell', 'Mulcahy', 'Australian'),
('Ruy', 'Guerreiro', 'Brazilian'),
('Ryan', 'Coogler', 'American'),
('Ryoo', 'Seung-wan', 'South Korean'),
('Ryszard', 'Bugajski', 'Polish'),
('Ryūsuke', 'Hamaguchi', 'Japanese'),
('S.S.', 'Rajamouli', 'Indian'),
('Saara', 'Cantell', 'Finnish'),
('Saife', 'Hassan', 'Pakistani'),
('Sajid', 'Khan', 'Indian'),
('Sally', 'Potter', 'British'),
('Sam', 'Mendes', 'British'),
('Sam', 'Raimi', 'American'),
('Sam', 'Taylor-Johnson', 'British'),
('Samir', 'Mehanovic', 'Swiss'),
('Samira', 'Makhmalbaf', 'Iranian'),
('Sang-ho', 'Yeon', 'South Korean'),
('Sanjay', 'Leela Bhansali', 'Indian'),
('Sara', 'Blecher', 'South African'),
('Sarah', 'Polley', 'Canadian'),
('Sarmad', 'Khoosat', 'Pakistani'),
('Satoshi', 'Kon', 'Japanese'),
('Satyajit', 'Ray', 'Indian'),
('Satyen', 'Bose', 'Indian'),
('Scott', 'Hicks', 'Australian'),
('Sean', 'Penn', 'American'),
('Sebastian', 'Koch', 'Austrian'),
('Sebastian', 'Lelio', 'Chilean'),
('Selma', 'Vilhunen', 'Finnish'),
('Semih', 'Kaplanoglu', 'Turkish'),
('Serdar', 'Akköse', 'Turkish'),
('Sergei', 'Eisenstein', 'Russian'),
('Sergio', 'Caballero', 'Colombian'),
('Sergio', 'Leone', 'Italian'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Shahid', 'Shafaat', 'Pakistani'),
('Shakti', 'Samanta', 'Indian'),
('Shane', 'Black', 'American'),
('Shane', 'Carruth', 'American'),
('Shane', 'Meadows', 'British'),
('Sharmeen', 'Obaid-Chinoy', 'Pakistani'),
('Sharon', 'Maguire', 'British'),
('Shashank', 'Khaitan', 'Indian'),
('Shehzad', 'Rafique', 'Pakistani'),
('Sherif', 'Arafa', 'Egyptian'),
('Shinya', 'Tsukamoto', 'Japanese'),
('Shirin', 'Neshat', 'Iranian'),
('Shoaib', 'Mansoor', 'Pakistani'),
('Shoojit', 'Sircar', 'Indian'),
('Shunji', 'Iwai', 'Japanese'),
('Shyam', 'Benegal', 'Indian'),
('Sibs', 'Shongwe-La Mer', 'South African'),
('Siddharth', 'Anand', 'Indian'),
('Sidney', 'Lumet', 'American'),
('Silvio', 'Caiozzi', 'Chilean'),
('Silvio', 'Soldini', 'Swiss'),
('Simon', 'Curtis', 'British'),
('Simon', 'Wincer', 'Australian'),
('Simón', 'Brand', 'Colombian'),
('Simón', 'Gaviria', 'Colombian'),
('Sion', 'Sono', 'Japanese'),
('Sivaroj', 'Kongsakul', 'Thai'),
('Sofia', 'Coppola', 'American'),
('Sofia', 'Loren', 'Italian'),
('Sohail', 'Khan', 'Indian'),
('Sompot', 'Chidgasornpongse', 'Thai'),
('Soo-sung', 'Lee', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sooraj', 'Barjatya', 'Indian'),
('Sophie', 'Fiennes', 'British'),
('Spike', 'Jonze', 'American'),
('Spike', 'Lee', 'American'),
('Stan', 'Brakhage', 'American'),
('Stanisław', 'Różewicz', 'Polish'),
('Stanley', 'Donen', 'American'),
('Stanley', 'Kubrick', 'American'),
('Stanley', 'Kwan', 'Hong Kong'),
('Stefan', 'Jäger', 'Swiss'),
('Stefan', 'Ruzowitzky', 'Austrian'),
('Stellan', 'Skarsgård', 'Swedish'),
('Stephen', 'Chow', 'Hong Kong'),
('Stephen', 'Daldry', 'British'),
('Steve', 'James', 'American'),
('Steve', 'McQueen', 'British'),
('Steven', 'Soderbergh', 'American'),
('Steven', 'Spielberg', 'American'),
('Stig', 'Bergqvist', 'Swedish'),
('Stijn', 'Coninx', 'Belgian'),
('Subhash', 'Ghai', 'Indian'),
('Sujoy', 'Ghosh', 'Indian'),
('Suneel', 'Darshan', 'Indian'),
('Sung-Bo', 'Shim', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Sunil', 'Dutt', 'Indian'),
('Sunu', 'Gonera', 'South African'),
('Susan', 'Seidelman', 'American'),
('Susanna', 'Edwards', 'Swedish'),
('Susanne', 'Bier', 'Danish'),
('Susi', 'Ganesan', 'Finnish'),
('Syed', 'Atif', 'Pakistani'),
('Syed', 'Noor', 'Pakistani'),
('Sérgio', 'Rezende', 'Brazilian'),
('Søren', 'Kragh-Jacobsen', 'Danish'),
('Tadeusz', 'Chmielewski', 'Polish'),
('Tae-kyung', 'Kim', 'South Korean'),
('Taika', 'Waititi', 'New Zealander'),
('Takashi', 'Miike', 'Japanese'),
('Takeshi', 'Kitano', 'Japanese'),
('Tamer', 'Mohsen', 'Egyptian'),
('Tanwarin', 'Sukkhapisit', 'Thai'),
('Tarek', 'Alarian', 'Egyptian'),
('Tassos', 'Boulmetis', 'Greek'),
('Terrence', 'Malick', 'American'),
('Terry', 'Gilliam', 'American'),
('Terry', 'Jones', 'British'),
('Thanasis', 'Vengos', 'Greek'),
('Theo', 'Angelopoulos', 'Greek'),
('Theo', 'van Gogh', 'Dutch'),
('Thomas', 'Cappelen Malling', 'Norwegian'),
('Thomas', 'Vinterberg', 'Danish'),
('Thunska', 'Pansittivorakul', 'Thai'),
('Tigmanshu', 'Dhulia', 'Indian'),
('Tim', 'Burton', 'American'),
('Timur', 'Bekmambetov', 'Russian'),
('Todd', 'Field', 'American'),
('Todd', 'Phillips', 'American'),
('Tolga', 'Karaçelik', 'Turkish'),
('Tom', 'Hooper', 'British'),
('Tom', 'McCarthy', 'American'),
('Tom', 'Tykwer', 'German'),
('Tomas', 'Alfredson', 'Swedish'),
('Tomáš', 'Vorel', 'Czech'),
('Tonia', 'Marketaki', 'Greek'),
('Tope', 'Oshin', 'Nigerian'),
('Tran', 'Anh Hung', 'Vietnamese'),
('Tsai', 'Ming-liang', 'Taiwanese'),
('Tsui', 'Hark', 'Hong Kong'),
('Tunde', 'Kelani', 'Nigerian'),
('Ugo', 'Giorgetti', 'Brazilian'),
('Ulf', 'Malmros', 'Swedish'),
('Ulrich', 'Seidl', 'Austrian'),
('Urs', 'Egli', 'Swiss'),
('Ursula', 'Meier', 'Swiss'),
('Usman', 'Mukhtar', 'Pakistani'),
('Usman', 'Riaz', 'Pakistani'),
('Vera', 'Chytilova', 'Czech'),
('Vibeke', 'Løkkeberg', 'Norwegian'),
('Victor', 'Sjöström', 'Swedish'),
('Victoria', 'Galardi', 'Argentinian'),
('Vidhu', 'Vinod Chopra', 'Indian'),
('Vijay', 'Anand', 'Indian'),
('Vikram', 'Bhatt', 'Indian'),
('Vilgot', 'Sjöman', 'Swedish'),
('Ville', 'Jankeri', 'Finnish'),
('Vincent', 'Ward', 'New Zealander'),
('Vipul', 'Amrutlal Shah', 'Indian'),
('Vittorio', 'De Sica', 'Italian'),
('Vladimir', 'Bortko', 'Russian'),
('Vlado', 'Škafar', 'Swiss'),
('Vojtěch', 'Jasný', 'Czech'),
('Volker', 'Schlöndorff', 'German'),
('Vu', 'Ngoc Dang', 'Vietnamese'),
('Václav', 'Marhoul', 'Czech'),
('Víctor', 'Erice', 'Spanish'),
('Víctor', 'Gaviria', 'Colombian'),
('Věra', 'Chytilová', 'Czech'),
('Wagner', 'Moura', 'Brazilian'),
('Walt', 'Banger', 'Nigerian'),
('Walter', 'Carvalho', 'Brazilian'),
('Walter', 'Salles', 'Brazilian'),
('Werner', 'Herzog', 'German'),
('Werner', 'Swiss', 'Schwartz'),
('Wes', 'Anderson', 'American'),
('Wes', 'Craven', 'American'),
('William', 'Vega', 'Colombian'),
('Wilson', 'Yip', 'Hong Kong'),
('Wim', 'Wenders', 'German'),
('Wisit', 'Sasanatieng', 'Thai'),
('Wojciech', 'Has', 'Polish'),
('Wojciech', 'Smarzowski', 'Polish'),
('Wolfgang', 'Murnberger', 'Austrian'),
('Wolfgang', 'Petersen', 'German'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Woody', 'Allen', 'American'),
('Wook', 'Park', 'South Korean'),
('Wu', 'Jing', 'Chinese'),
('Władysław', 'Pasikowski', 'Polish'),
('Xavier', 'Dolan', 'Canadian'),
('Xavier', 'Koller', 'Swiss'),
('Xie', 'Jin', 'Chinese'),
('Yannis', 'Smaragdis', 'Greek'),
('Yash', 'Chopra', 'Indian'),
('Yasujiro', 'Ozu', 'Japanese'),
('Yavuz', 'Turgul', 'Turkish'),
('Yeşim', 'Ustaoğlu', 'Turkish'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Yoon', 'Hong-seung', 'South Korean'),
('Yorgos', 'Lanthimos', 'Greek'),
('Yoshiaki', 'Kawajiri', 'Japanese'),
('Yoshiyuki', 'Tomino', 'Japanese'),
('Yousry', 'El Hawary', 'Egyptian'),
('Yousry', 'Nasrallah', 'Egyptian'),
('Youssef', 'Chahine', 'Egyptian'),
('Yılmaz', 'Erdoğan', 'Turkish'),
('Yılmaz', 'Güney', 'Turkish'),
('Zaida', 'Bergroth', 'Finnish'),
('Zeki', 'Alasya', 'Turkish'),
('Zeki', 'Demirkubuz', 'Turkish'),
('Zeki', 'Ökten', 'Turkish'),
('Zhang', 'Yimou', 'Chinese'),
('Zhangke', 'Jia', 'Chinese'),
('Zoltán', 'Fábri', 'Hungarian'),
('Zoya', 'Akhtar', 'Indian'),
('Zülfü', 'Livaneli', 'Turkish'),
('Çağan', 'Irmak', 'Turkish'),
('Ömer', 'Kavur', 'Turkish'),
('Özcan', 'Alper', 'Turkish'),
('Šimon', 'Šafránek', 'Czech'),
