('109 Cinemas Grandberry Mall', 310, '3D', 'Japan, Tokyo'),
('Cineplex Titania', 200, '3D', 'Germany, Berlin'),
('Cineplexx Athens Metro Mall', 310, '3D', 'Greece, Athens'),
('Cineplexx Donauplex', 280, 'IMAX', 'Austria, Vienna'),
('Cineplexx Graz', 200, '3D', 'Austria, Graz'),
('Cineplexx Hohenems', 290, 'IMAX', 'Austria, Hohenems'),
('Cineplexx Larissa', 220, 'IMAX', 'Greece, Larissa'),
('Cineplexx Linz', 260, 'Standard', 'Austria, Linz'),
('Cineplexx Salzburg City', 190, '3D', 'Austria, Salzburg'),
('Cineplexx Thessaloniki', 290, 'IMAX', 'Greece, Thessaloniki'),
('Cinepolis', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinepolis AlphaOne Ahmedabad', 170, 'Standard', 'India, Ahmedabad'),
('Cinepolis Caballito', 260, 'Standard', 'Argentina, Buenos Aires'),
('Cinepolis Cosmocentro', 190, '3D', 'Colombia, Cali'),
('Cinepolis Diana', 220, 'IMAX', 'Mexico, Mexico City'),
('Cinepolis Forum Buenavista', 170, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Galerias Atizapan', 240, 'IMAX', 'Mexico, Atizapan de Zaragoza'),
('Cinepolis Galerias Vallarta', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinepolis Hayuelos', 290, 'IMAX', 'Colombia, Bogotá'),
('Cinepolis JK Iguatemi', 230, 'Standard', 'Brazil, Sao Paulo'),
('Cinepolis Larissa', 290, 'IMAX', 'Greece, Larissa'),
('Cinepolis Oasis Coyoacan', 170, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Oasis Coyoacán', 220, '3D', 'Mexico, Mexico City'),
('Cinepolis Orion Mall', 290, '3D', 'India, Bangalore'),
('Cinepolis Pabellon Cuauhtemoc', 240, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Parque Maia', 290, 'IMAX', 'Brazil, Guarulhos'),
('Cinepolis Perinorte', 240, 'Standard', 'Mexico, Cuautitlán Izcalli'),
('Cinepolis Perisur', 200, '3D', 'Mexico, Mexico City'),
('Cinepolis Plaza Carso', 170, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Plaza Satelite', 190, '3D', 'Mexico, Naucalpan'),
('Cinepolis Plaza Satélite', 240, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Salitre Plaza', 200, '3D', 'Colombia, Bogotá'),
('Cinepolis Samara Shops', 220, '3D', 'Mexico, Santa Fe'),
('Cinepolis Seasons Mall', 220, '3D', 'India, Pune'),
('Cinepolis Syntagma', 200, '3D', 'Greece, Athens'),
('Cinepolis Titan Plaza', 190, '3D', 'Colombia, Bogotá'),
('Cinepolis Unicentro', 200, '3D', 'Colombia, Cali'),
('Cinepolis Unity One', 220, 'IMAX', 'India, Delhi'),
('Cinepolis Universidad', 200, '3D', 'Mexico, Mexico City'),
('Cinepolis VIP Saket', 200, '3D', 'India, New Delhi'),
('Cinerama Dome', 250, 'Standard', 'USA, Los Angeles'),
('Cines Yelmo Sant Cugat', 260, 'Standard', 'Spain, Sant Cugat'),
('Cinesa Diagonal', 190, '3D', 'Spain, Barcelona'),
('Cinesa Diagonal Mar', 220, 'IMAX', 'Spain, Barcelona'),
('Cinesa Festival Park', 170, 'Standard', 'Spain, Palma de Mallorca'),
('Cinesa Heron City', 290, 'IMAX', 'Spain, Valencia'),
('Cinesa La Maquinista', 200, '3D', 'Spain, Barcelona'),
('Cinesa Marineda City', 170, 'Standard', 'Spain, A Coruña'),
('Cinesa Mendez Alvaro', 190, '3D', 'Spain, Madrid'),
('Cinesa Parc Vallès', 290, 'IMAX', 'Spain, Terrassa'),
('Cinesa Parque Corredor', 240, 'Standard', 'Spain, Torrejón de Ardoz'),
('Cinesa Parquesur', 190, '3D', 'Spain, Madrid'),
('Cinesa Príncipe Pío', 230, 'Standard', 'Spain, Madrid'),
('Cinesa Xanadú', 220, 'IMAX', 'Spain, Arroyomolinos'),
('Cinescape', 300, '3D', 'Kuwait, Kuwait City'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Cinesur El Tablero', 220, 'IMAX', 'Spain, Córdoba'),
('Cinesur Miramar Fuengirola', 240, 'Standard', 'Spain, Fuengirola'),
('Cinesystem Morumbi Town', 260, 'Standard', 'Brazil, São Paulo'),
('Cinesystem Rio Anil Shopping', 260, 'Standard', 'Brazil, Sao Luis'),
('Cineville', 290, 'IMAX', 'Netherlands, Amsterdam'),
('Cineworld Birmingham', 220, 'IMAX', 'United Kingdom, Birmingham'),
('Cineworld Edinburgh', 170, 'Standard', 'United Kingdom, Edinburgh'),
('Cineworld Enfield', 170, 'Standard', 'UK, Enfield'),
('Cineworld Glasgow', 220, 'Standard', 'UK, Glasgow'),
('Cineworld Glasgow Renfrew Street', 290, 'IMAX', 'United Kingdom, Glasgow'),
('Cineworld Leicester Square', 200, '3D', 'UK, London'),
('Cineworld Leicester Square', 200, '3D', 'United Kingdom, London'),
('Cineworld Sheffield', 200, '3D', 'United Kingdom, Sheffield'),
('Ciné 17', 230, 'Standard', 'Switzerland, Lausanne'),
('Cinépolis Belgrano', 260, 'Standard', 'Argentina, Buenos Aires'),
('Cinépolis Caballito', 220, 'IMAX', 'Argentina, Buenos Aires'),
('Cinépolis Caxias Shopping', 170, 'Standard', 'Brazil, Duque de Caxias'),
('Cinépolis Easton Outlet Mall', 240, 'Standard', 'Chile, Quilicura'),
('Cinépolis Florida Center', 260, 'Standard', 'Chile, La Florida'),
('Cinépolis Hayuelos', 310, '3D', 'Colombia, Bogotá'),
('Cinépolis Icaraí', 190, '3D', 'Brazil, Niterói'),
('Cinépolis Iguatemi Esplanada', 190, '3D', 'Brazil, Sorocaba'),
('Cinépolis JK Iguatemi', 230, 'Standard', 'Brazil, São Paulo'),
('Cinépolis La Reina', 280, 'IMAX', 'Chile, Santiago'),
('Cinépolis Lagoon', 200, '3D', 'Brazil, Rio de Janeiro'),
('Cinépolis Luxury Cinemas', 200, '3D', 'USA, San Francisco'),
('Cinépolis Millennium', 170, '3D', 'Brazil, Manaus'),
('Cinépolis Palermo', 170, 'Standard', 'Argentina, Buenos Aires'),
('Cinépolis Parque Maia', 290, 'IMAX', 'Brazil, Guarulhos'),
('Cinépolis Plaza Oeste', 240, 'Standard', 'Chile, Cerrillos'),
('Cinépolis RioMar Recife', 170, 'Standard', 'Brazil, Recife'),
('Cinépolis Saavedra', 240, 'Standard', 'Argentina, Buenos Aires'),
('Cinépolis Salitre Plaza', 240, 'Standard', 'Colombia, Bogotá'),
('Cinépolis Santa Úrsula', 170, 'Standard', 'Brazil, Ribeirão Preto'),
('Cinépolis São Bernardo Plaza', 170, 'Standard', 'Brazil, São Bernardo do Campo'),
('Ciputra World XXI', 310, '3D', 'Indonesia, Surabaya'),
('City Centre Alexandria Cinemas', 200, '3D', 'Egypt, Alexandria'),
('City Cinema', 180, 'IMAX', 'Oman, Muscat'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('City Stars Mall Cinemas', 220, 'IMAX', 'Egypt, Cairo'),
('Cityscape Cinema', 260, 'Standard', 'Egypt, 6th of October City'),
('Cityscape Mall Cinemas', 310, '3D', 'Egypt, 6th of October City'),
('Citystars Heliopolis Cinemas', 240, 'Standard', 'Egypt, Cairo'),
('Colosseum Kino', 310, '3D', 'Norway, Oslo'),
('Curzon Mayfair', 260, 'Standard', 'United Kingdom, London'),
('Curzon Mayfair', 290, 'IMAX', 'UK, London'),
('Curzon Soho', 260, 'Standard', 'UK, London'),
('Curzon Soho', 310, '3D', 'United Kingdom, London'),
('DT Cinemas - DLF Promenade', 220, 'Standard', 'India, Delhi'),
('Dandy Mega Mall Cinemas', 220, 'IMAX', 'Egypt, Cairo'),
('Delite Cinema', 220, 'Standard', 'India, Delhi'),
('Dendy Opera Quays', 290, 'IMAX', 'Australia, Sydney'),
('Downtown Mall Cinemas', 290, 'IMAX', 'Egypt, New Cairo'),
('E-DA Outlet Mall Cinema', 170, 'Standard', 'Taiwan, Kaohsiung'),
('EYE Filmmuseum', 230, 'Standard', 'Netherlands, Amsterdam'),
('El Capitan Theatre', 230, 'Standard', 'USA, Los Angeles'),
('Electric Cinema Portobello', 200, 'IMAX', 'Australia, Sydney'),
('Electric Cinema Portobello', 200, 'IMAX', 'UK, London'),
('Electric Cinema Shoreditch', 200, 'IMAX', 'UK, London'),
('EmQuartier Cineplex', 190, '3D', 'Thailand, Bangkok'),
('Empire Cinemas', 230, 'Standard', 'Saudi Arabia, Riyadh'),
('Empire Cinemas', 280, 'IMAX', 'UK, London'),
('Empire Cinemas Al Andalus', 190, '3D', 'Saudi Arabia, Jeddah'),
('Empire Cinemas Jazan', 290, 'IMAX', 'Saudi Arabia, Jazan'),
('Empire Cinemas Mall of Arabia', 200, '3D', 'Saudi Arabia, Jeddah'),
('Empire Cinemas Mall of Qatar', 220, 'IMAX', 'Qatar, Doha'),
('Empire Cinemas Obhur', 220, 'IMAX', 'Saudi Arabia, Jeddah'),
('Empire Cinemas Panorama', 240, 'Standard', 'Saudi Arabia, Riyadh'),
('Empire Cinemas Soudah Park', 200, '3D', 'Saudi Arabia, Abha'),
('Empire Cinemas Walthamstow', 240, 'Standard', 'UK, London'),
('Espaço Itaú de Cinema Augusta', 220, 'IMAX', 'Brazil, São Paulo'),
('Esplanade Cineplex', 200, '3D', 'Thailand, Bangkok'),
('Event Cinemas Chermside', 190, '3D', 'Australia, Brisbane'),
('Event Cinemas Garden City', 240, 'Standard', 'Australia, Perth'),
('Event Cinemas George Street', 220, 'Standard', 'Australia, Sydney'),
('Event Cinemas Marion', 170, 'Standard', 'Australia, Adelaide'),
('Event Cinemas Pacific Fair', 240, 'Standard', 'Australia, Gold Coast'),
('Everyman Belsize Park', 260, 'Standard', 'United Kingdom, London'),
('Everyman Cinema Bristol', 160, 'IMAX', 'UK, Bristol'),
('Everyman Cinema Bristol', 240, 'Standard', 'Australia, Melbourne'),
('Everyman Cinema Hampstead', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Leeds', 240, 'Standard', 'UK, Leeds'),
('Everyman Glasgow', 310, '3D', 'United Kingdom, Glasgow'),
('Everyman Hampstead', 310, '3D', 'UK, London'),
('Everyman Manchester St Johns', 170, 'Standard', 'United Kingdom, Manchester'),
('Everyman York', 170, 'Standard', 'United Kingdom, York'),
('Fifth Avenue Cinemas', 240, 'Standard', 'Canada, Vancouver'),
('Filmhallen', 260, 'Standard', 'Netherlands, Amsterdam'),
('Filmhouse Calabar', 170, 'Standard', 'Nigeria, Calabar'),
('Filmhouse IMAX Apapa', 190, '3D', 'Nigeria, Lagos'),
('Filmhouse IMAX Lekki', 280, 'IMAX', 'Nigeria, Lagos'),
('Filmhouse Surulere', 310, '3D', 'Nigeria, Lagos'),
('Filmpalast am ZKM', 260, 'Standard', 'Germany, Karlsruhe'),
('Filmstaden Bergakungen', 290, 'IMAX', 'Sweden, Gothenburg'),
('Filmstaden Heron City', 260, 'Standard', 'Sweden, Kungens Kurva'),
('Filmstaden Karlskrona', 190, '3D', 'Sweden, Karlskrona'),
('Filmstaden Kista', 260, 'Standard', 'Sweden, Stockholm'),
('Filmstaden Linköping', 190, '3D', 'Sweden, Linköping'),
('Filmstaden Scandinavia', 190, '3D', 'Sweden, Stockholm'),
('Filmstaden Sergel', 280, 'IMAX', 'Sweden, Stockholm'),
('Filmstaden Söder', 190, '3D', 'Sweden, Stockholm'),
('Filmstaden Uppsala', 190, '3D', 'Sweden, Uppsala'),
('Filmstaden Västerås', 170, 'Standard', 'Sweden, Västerås'),
('Filmstaden Örebro', 290, 'IMAX', 'Sweden, Örebro'),
('Flik Cinema Mirqab Mall', 260, 'Standard', 'Qatar, Doha'),
('Formula Kino', 220, 'Standard', 'Russia, St. Petersburg'),
('Formula Kino Aurora', 170, 'Standard', 'Russia, Saint Petersburg'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Formula Kino Europa', 260, 'Standard', 'Russia, St. Petersburg'),
('Formula Kino Europa City Mall', 190, '3D', 'Russia, Moscow'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino Silver City', 290, 'IMAX', 'Russia, Krasnodar'),
('Formula Kino TSUM', 290, 'IMAX', 'Russia, Moscow'),
('Formula Kino Tsaritsyno', 190, '3D', 'Russia, Moscow'),
('Formula Kino na Kievskom', 310, '3D', 'Russia, Moscow'),
('Fox Cineplex Sarit', 220, 'Standard', 'Kenya, Nairobi'),
('Fyrisbiografen', 310, '3D', 'Sweden, Uppsala'),
('GSC 1 Utama', 310, '3D', 'Malaysia, Petaling Jaya'),
('GSC Gurney Plaza', 170, 'Standard', 'Malaysia, George Town'),
('GSC IOI City Mall', 190, '3D', 'Malaysia, Putrajaya'),
('GSC Mid Valley', 280, 'IMAX', 'Malaysia, Kuala Lumpur'),
('GSC Mid Valley Megamall', 230, 'Standard', 'Malaysia, Kuala Lumpur'),
('GSC Pavilion KL', 190, '3D', 'Malaysia, Kuala Lumpur'),
('Galaxy Nguyen Du', 200, '3D', 'Vietnam, Ho Chi Minh City'),
('Galaxy Nguyen Trai', 220, 'IMAX', 'Vietnam, Ho Chi Minh City'),
('Galaxy Quang Trung', 290, 'IMAX', 'Vietnam, Ho Chi Minh City'),
('Gateway Cineplex', 170, 'Standard', 'Philippines, Quezon City'),
('Gateway Cineplex 10', 170, 'Standard', 'Philippines, Quezon City'),
('Gaumont Convention', 220, 'IMAX', 'France, Paris'),
('Gaumont Montparnasse', 160, 'Standard', 'France, Paris'),
('Gaumont Opéra', 190, '3D', 'France, Paris'),
('Gaumont Opéra Capucines', 230, 'Standard', 'France, Paris'),
('Gaumont Parnasse', 190, '3D', 'France, Paris'),
('Gaumont Saint-Denis', 170, 'Standard', 'France, Saint-Denis'),
('Genesis Deluxe Cinemas Maryland Mall', 260, 'Standard', 'Nigeria, Lagos'),
('Genesis Deluxe Cinemas Palms', 230, 'Standard', 'Nigeria, Lagos'),
('Genesis Deluxe Cinemas Sangotedo', 240, 'Standard', 'Nigeria, Lagos'),
('Gimle Kino', 200, '3D', 'Norway, Oslo'),
('Gloria Palast München', 260, 'Standard', 'Germany, Munich'),
('Glorietta Cinema', 240, 'Standard', 'Philippines, Makati'),
('Golden Harvest Tuen Mun Town Plaza', 290, 'IMAX', 'Hong Kong, Tuen Mun'),
('Golden Village Bishan', 170, 'Standard', 'Singapore, Bishan'),
('Golden Village Jurong Point', 260, 'Standard', 'Singapore, Jurong West'),
('Grand Cinemas', 250, 'Standard', 'Kuwait, Hawally'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Hawally'),
('Grand Ocean', 220, 'IMAX', 'Hong Kong, Tsuen Wan'),
('Green Plaza Mall Cinemas', 170, 'Standard', 'Egypt, Alexandria'),
('Greenbelt 3 Cinema', 260, 'Standard', 'Philippines, Makati'),
('HOME Manchester', 220, 'Standard', 'UK, Manchester'),
('Hoyts Abasto', 230, 'Standard', 'Argentina, Buenos Aires'),
('Hoyts Arauco Maipú', 220, 'IMAX', 'Chile, Santiago'),
('Hoyts Broadway', 190, '3D', 'Australia, Sydney'),
('Hoyts Carousel', 290, 'IMAX', 'Australia, Perth'),
('Hoyts Chadstone', 170, 'Standard', 'Australia, Melbourne'),
('Hoyts Cinema', 180, 'IMAX', 'Australia, Sydney'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Hoyts Dot Baires', 190, '3D', 'Argentina, Buenos Aires'),
('Hoyts Entertainment Quarter', 200, 'IMAX', 'Australia, Sydney'),
('Hoyts Highpoint', 160, 'IMAX', 'Australia, Melbourne'),
('Hoyts La Plata', 170, 'Standard', 'Argentina, La Plata'),
('Hoyts La Reina', 230, 'Standard', 'Chile, Santiago'),
('Hoyts Maipú', 220, 'IMAX', 'Chile, Maipú'),
('Hoyts Melbourne Central', 190, '3D', 'Australia, Melbourne'),
('Hoyts Parque Arauco', 230, 'Standard', 'Chile, Santiago'),
('Hoyts Patio Bullrich', 250, 'Standard', 'Argentina, Buenos Aires'),
('Hoyts Plaza Egaña', 290, 'IMAX', 'Chile, La Reina'),
('Hoyts Plaza Sur', 170, 'Standard', 'Chile, San Bernardo'),
('Hoyts Quilmes', 190, '3D', 'Argentina, Quilmes'),
('Hoyts Sylvia Park', 240, 'Standard', 'Australia, Auckland'),
('Hoyts Unicenter', 290, 'IMAX', 'Argentina, Martínez'),
('INOX Amanora Mall', 260, 'Standard', 'India, Pune'),
('INOX Cyber Hub', 240, 'Standard', 'India, Gurgaon'),
('INOX Garuda Mall', 240, 'IMAX', 'India, Bangalore'),
('INOX Growels 101 Mall', 240, 'Standard', 'India, Kandivali'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('INOX Metro Junction Mall', 260, 'Standard', 'India, Kalyan'),
('INOX Nehru Place', 220, 'Standard', 'India, Delhi'),
('INOX R City', 190, '3D', 'India, Mumbai'),
('INOX R-City', 220, 'Standard', 'India, Mumbai'),
('INOX R-City Mall', 230, 'Standard', 'India, Mumbai'),
('INOX Saket', 260, 'Standard', 'India, Delhi'),
('Jinyi Cinemas - Hangzhou Kerry Centre', 200, '3D', 'China, Hangzhou'),
('Jinyi Cinemas - Wuhan World City Mall', 240, 'Standard', 'China, Wuhan'),
('Joya Cinema', 220, 'IMAX', 'Bangladesh, Dhaka'),
('KARO 11 Oktyabr', 200, '3D', 'Russia, Kaliningrad'),
('KARO 7 Atrium', 240, 'Standard', 'Russia, Novokuznetsk'),
('KARO Sky 17', 260, 'Standard', 'Russia, Moscow'),
('Karo Film October', 220, 'IMAX', 'Russia, Moscow'),
('Karo Film Zvezda', 190, '3D', 'Russia, Moscow'),
('Karofilm', 280, 'IMAX', 'Russia, Moscow'),
('Kinepolis Antwerp', 200, '3D', 'Belgium, Antwerp'),
('Kinepolis Breda', 220, 'IMAX', 'Netherlands, Breda'),
('Kinepolis Brugge', 170, 'Standard', 'Belgium, Brugge'),
('Kinepolis Brussels', 280, 'IMAX', 'Belgium, Brussels'),
('Kinepolis Ghent', 260, 'Standard', 'Belgium, Ghent'),
('Kinepolis Groningen', 220, 'IMAX', 'Netherlands, Groningen'),
('Kinepolis Jaarbeurs', 200, '3D', 'Netherlands, Utrecht'),
('Kinepolis Leuven', 290, 'IMAX', 'Belgium, Leuven'),
('Kinepolis Liège', 190, '3D', 'Belgium, Liège'),
('Kinepolis Valencia', 310, '3D', 'Spain, Valencia'),
('Kino Kristiansand', 240, 'Standard', 'Norway, Kristiansand'),
('Kino Lucerna', 240, 'Standard', 'Czech Republic, Prague'),
('Kino Tromsø', 260, 'Standard', 'Norway, Tromsø'),
('Kino Victoria', 230, 'Standard', 'Norway, Oslo'),
('KinoMax Yekaterinburg', 310, '3D', 'Russia, Yekaterinburg'),
('Kinomax Kashirskaya Plaza', 200, '3D', 'Russia, Moscow'),
('Kinomax Khimki', 310, '3D', 'Russia, Khimki'),
('Kinomax Mega Khimki', 220, 'IMAX', 'Russia, Khimki'),
('Kinomax Mega Parnas', 190, '3D', 'Russia, St. Petersburg'),
('Kinomax Vegas Kuntsevo', 290, 'IMAX', 'Russia, Moscow'),
('Kinoplex Itaim', 200, '3D', 'Brazil, São Paulo'),
('Kinoplex Leblon', 230, 'Standard', 'Brazil, Rio de Janeiro'),
('Kinoplex Nova América', 290, 'IMAX', 'Brazil, Rio de Janeiro'),
('Kinoplex ParkShopping', 230, 'Standard', 'Brazil, Brasilia'),
('Kinoplex Shopping Leblon', 200, '3D', 'Brazil, Rio de Janeiro'),
('Kinoplex Shopping Tijuca', 240, 'Standard', 'Brazil, Rio de Janeiro'),
('Kinoplex Shopping Vila Olímpia', 230, 'Standard', 'Brazil, São Paulo'),
('Kinoplex Tijuca', 220, 'IMAX', 'Brazil, Rio de Janeiro'),
('Kinoplex Vila Olímpia', 190, '3D', 'Brazil, São Paulo'),
('Kinépolis Ciudad de la Imagen', 190, '3D', 'Spain, Madrid'),
('Kinépolis Lomme', 290, 'IMAX', 'France, Lomme'),
('Kinépolis Valencia', 200, '3D', 'Spain, Valencia'),
('Kitag Cinema Abaton', 200, '3D', 'Switzerland, Zurich'),
('Kitag Cinema Capitol', 280, 'IMAX', 'Switzerland, Zurich'),
('Kitag Cinema Capitol Sihlcity', 290, 'IMAX', 'Switzerland, Zurich'),
('Kitag Cinema Maxx', 260, 'Standard', 'Switzerland, Emmenbrücke'),
('Kitag Cinema Rex', 190, '3D', 'Switzerland, Biel'),
('Kitag Cinemas Abaton', 200, '3D', 'Switzerland, Zurich'),
('Kitag Cinemas Capitol', 190, '3D', 'Switzerland, Zurich'),
('Kitag Kino Abaton', 190, '3D', 'Switzerland, Zurich'),
('Kitag Kino Bellevue', 280, 'IMAX', 'Switzerland, Zurich'),
('Kitag Kino Capitol', 200, '3D', 'Switzerland, Basel'),
('Kitag Kino Corso', 260, 'Standard', 'Switzerland, Zurich'),
('Kitag Kino Maxx', 290, 'IMAX', 'Switzerland, Winterthur'),
('Klingenberg Kino', 230, 'Standard', 'Norway, Oslo'),
('Kriterion', 190, '3D', 'Netherlands, Amsterdam'),
('Lab111', 170, 'Standard', 'Netherlands, Amsterdam'),
('Laemmle Royal', 230, 'Standard', 'USA, Los Angeles'),
('Landmark Cinemas 10 Shawnessy', 240, 'Standard', 'Canada, Calgary'),
('Landmark Cinemas 12 Guildford', 220, 'IMAX', 'Canada, Surrey'),
('Landmark Cinemas 16 Country Hills', 190, '3D', 'Canada, Calgary'),
('Landmark Cinemas 24 Kanata', 200, '3D', 'Canada, Ottawa'),
('Landmark Cinemas 6 Jackson Square', 170, 'Standard', 'Canada, Hamilton'),
('Landmark Cinemas 9 City Centre', 170, 'Standard', 'Canada, Edmonton'),
('Le Grand Rex', 190, '3D', 'France, Paris'),
('Lotte Cinema', 200, 'Standard', 'South Korea, Busan'),
('Lotte Cinema Cantavil', 230, 'Standard', 'Vietnam, Ho Chi Minh City'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Lotte Cinema Daegu', 220, '3D', 'South Korea, Daegu'),
('Lotte Cinema Daehakro', 290, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Danang', 220, 'IMAX', 'Vietnam, Danang'),
('Lotte Cinema Hanoi', 200, '3D', 'Vietnam, Hanoi'),
('Lotte Cinema Hongdae', 240, 'Standard', 'South Korea, Seoul'),
('Lotte Cinema Konkuk University', 230, 'Standard', 'South Korea, Seoul'),
('Lotte Cinema Nha Trang', 290, 'IMAX', 'Vietnam, Nha Trang'),
('Lotte Cinema NowZone', 260, 'Standard', 'Vietnam, Ho Chi Minh City'),
('Lotte Cinema Nowon', 220, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Nowzone', 260, 'Standard', 'Vietnam, Ho Chi Minh City'),
('Lotte Cinema Royal City', 240, 'Standard', 'Vietnam, Hanoi'),
('Lotte Cinema Sinchon', 220, 'Standard', 'South Korea, Seoul'),
('Lotte Cinema Thu Duc', 240, 'Standard', 'Vietnam, Ho Chi Minh City'),
('Lotte Cinema Ulsan', 220, 'Standard', 'South Korea, Ulsan'),
('Lotte Cinema World Tower', 230, 'Standard', 'South Korea, Seoul'),
('Lumière Cinéma', 150, 'Standard', 'France, Lyon'),
('Lumière Pavilions - Beijing Shuangjing', 310, '3D', 'China, Beijing'),
('Lumière Pavilions - Shanghai Hongqiao', 290, 'IMAX', 'China, Shanghai'),
('Luxor Cinema', 260, 'Standard', 'Russia, St. Petersburg'),
('Luxor Cinema Center', 220, 'IMAX', 'Russia, Saint Petersburg'),
('MBO Atria Shopping Gallery', 200, '3D', 'Malaysia, Damansara'),
('MBO Cinemas Bukit Tinggi', 200, '3D', 'Malaysia, Klang'),
('MBO Cinemas KSL City', 200, '3D', 'Malaysia, Johor Bahru'),
('MBO Cinemas Kepong Village Mall', 200, '3D', 'Malaysia, Kuala Lumpur'),
('MBO Cinemas Setapak Central', 190, '3D', 'Malaysia, Kuala Lumpur'),
('MBO Cinemas Setapak Sentral', 220, 'IMAX', 'Malaysia, Kuala Lumpur'),
('MBO Cinemas The Spring', 290, 'IMAX', 'Malaysia, Kuching'),
('MBO Cinemas The Starling', 290, 'IMAX', 'Malaysia, Petaling Jaya'),
('MBO Kecil Ipoh', 290, 'IMAX', 'Malaysia, Ipoh'),
('MBO Setapak Central', 220, 'IMAX', 'Malaysia, Kuala Lumpur'),
('MCL Cinemas', 290, 'IMAX', 'Taiwan, Taipei'),
('MK2 Bibliothèque', 160, 'Standard', 'France, Paris'),
('MK2 Quai de Seine', 160, 'Standard', 'France, Paris'),
('MOVIX Kyoto', 170, 'Standard', 'Japan, Kyoto'),
('MOViE MOViE Pacific Place', 200, '3D', 'Hong Kong, Admiralty'),
('Majestic Passy', 190, '3D', 'France, Paris'),
('Major Cineplex Big C Ratchaburi', 170, 'Standard', 'Thailand, Ratchaburi'),
('Major Cineplex Central Rama III', 190, '3D', 'Thailand, Bangkok'),
('Major Cineplex CentralPlaza Ladprao', 240, 'Standard', 'Thailand, Bangkok'),
('Major Cineplex CentralWorld', 280, 'IMAX', 'Thailand, Bangkok'),
('Major Cineplex Chaengwattana', 240, 'Standard', 'Thailand, Nonthaburi'),
('Major Cineplex Future Park Rangsit', 290, 'IMAX', 'Thailand, Pathum Thani'),
('Major Cineplex Lotus Khon Kaen', 290, 'IMAX', 'Thailand, Khon Kaen'),
('Major Cineplex Lotus Nakhon Pathom', 190, '3D', 'Thailand, Nakhon Pathom'),
('Major Cineplex Lotus Samui', 290, 'IMAX', 'Thailand, Koh Samui'),
('Major Cineplex Pattaya', 190, '3D', 'Thailand, Pattaya'),
('Major Cineplex Pinklao', 220, 'IMAX', 'Thailand, Bangkok'),
('Major Cineplex Rangsit', 170, 'Standard', 'Thailand, Pathum Thani'),
('Major Cineplex Ratchayothin', 200, '3D', 'Thailand, Bangkok'),
('Major Cineplex Sukhumvit', 220, 'IMAX', 'Thailand, Bangkok'),
('Mall of Arabia Cinemas', 190, '3D', 'Egypt, 6th of October City'),
('Mall of Egypt Cinemas', 190, '3D', 'Egypt, 6th of October City'),
('Mathäser Filmpalast', 250, 'Standard', 'Germany, Munich'),
('Mega CGR Epinay', 240, 'Standard', 'France, Epinay'),
('Mega City Mall Cinema', 200, '3D', 'Taiwan, Kaohsiung'),
('MegaCity Cineplex', 290, 'IMAX', 'Taiwan, Kaohsiung'),
('Megabox COEX', 200, '3D', 'South Korea, Seoul'),
('Megabox COEX Mall', 200, '3D', 'South Korea, Seoul'),
('Megabox Daejeon', 290, 'Standard', 'South Korea, Daejeon'),
('Megabox Dongdaemun', 160, 'IMAX', 'South Korea, Seoul'),
('Megabox Gangnam', 190, '3D', 'South Korea, Seoul'),
('Megabox Haeundae', 200, 'IMAX', 'South Korea, Busan'),
('Megabox Mokdong', 290, 'IMAX', 'South Korea, Seoul'),
('Megabox Sinchon', 220, 'IMAX', 'South Korea, Seoul'),
('Miramar Cinemas', 200, '3D', 'Taiwan, Taipei'),
('MixCine - Chongqing', 170, 'Standard', 'China, Chongqing'),
('MixCine - Shenzhen', 260, 'Standard', 'China, Shenzhen'),
('Modhumita Cinema Hall', 190, '3D', 'Bangladesh, Dhaka'),
('Multicines Sucre', 170, 'Standard', 'Spain, Vic'),
('Multikino Gdańsk', 290, 'IMAX', 'Poland, Gdańsk'),
('Multikino Kraków Plaza', 260, 'Standard', 'Poland, Kraków'),
('Multikino Poznań Malta', 190, '3D', 'Poland, Poznań'),
('Multikino Wola Park', 200, '3D', 'Poland, Warsaw'),
('Multikino Złote Tarasy', 280, 'IMAX', 'Poland, Warsaw'),
('Multiplex Belgrano', 220, 'IMAX', 'Argentina, Buenos Aires'),
('Multisala Barberini', 310, '3D', 'Italy, Rome'),
