('Christopher', 'Nolan', 'British'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Abbas', 'Kiarostami', 'Iranian'),
('Alejandro', 'Amenábar', 'Spanish'),
('Darren', 'Aronofsky', 'American'),
('Alfonso', 'Cuarón', 'Mexican'),
('Hayao', 'Miyazaki', 'Japanese'),
('Isao', 'Takahata', 'Japanese'),
('Sofia', 'Coppola', 'American'),
('George', 'Miller', 'Australian'),
('Werner', 'Herzog', 'German'),
('Danny', 'Boyle', 'British'),
('Judd', 'Apatow', 'American'),
('Catherine', 'Hardwicke', 'American'),
('Zhang', 'Yimou', 'Chinese'),
('Stephen', 'Chow', 'Hong Kong'),
('John', 'Woo', 'Hong Kong'),
('Hou', 'Hsiao-hsien', 'Taiwanese'),
('Gus', 'Van Sant', 'American'),
('David', 'Cronenberg', 'Canadian'),
('Terry', 'Gilliam', 'American'),
('Lars', 'von Trier', 'Danish'),
('Mike', 'Leigh', 'British'),
('Jean-Pierre', 'Jeunet', 'French'),
('Tom', 'Tykwer', 'German'),
('Jim', 'Jarmusch', 'American'),
('Matthew', 'Vaugn', 'British'),
('John', 'McTiernan', 'American'),
('Rob', 'Reiner', 'American'),
('Frank', 'Darabont', 'American'),
('Sam', 'Raimi', 'American'),
('Peter', 'Weir', 'Australian'),
('Joel', 'Schumacher', 'American'),
('Richard', 'Donner', 'American'),
('Paul', 'Verhoeven', 'Dutch'),
('Michael', 'Haneke', 'Austrian'),
('Fernando', 'Meirelles', 'Brazilian'),
('Hirokazu', 'Kore-eda', 'Japanese'),
('Duncan', 'Jones', 'British'),
('Michel', 'Gondry', 'French'),
('Giuseppe', 'Tornatore', 'Italian'),
('Yimou', 'Zhang', 'Chinese'),
('Ang', 'Lee', 'Taiwanese'),
('Denis', 'Villeneuve', 'Canadian'),
('Steve', 'McQueen', 'British'),
('James', 'Mangold', 'American'),
('Ridley', 'Scott', 'British'),
('Luc', 'Besson', 'French'),
('Michael', 'Mann', 'American'),
('Alejandro', 'G. Iñárritu', 'Mexican'),
('David', 'O. Russell', 'American'),
('Ethan', 'Coen', 'American'),
('Joel', 'Coen', 'American'),
('Alejandro', 'González Iñárritu', 'Mexican'),
('Spike', 'Jonze', 'American'),
('George', 'Clooney', 'American'),
('Joel', 'Edgerton', 'Australian'),
('Tom', 'Hooper', 'British'),
('Ron', 'Howard', 'American'),
('Wes', 'Craven', 'American'),
('Martin', 'McDonagh', 'British'),
('David', 'Gordon Green', 'American'),
('James', 'Wan', 'Malaysian'),
('John', 'Lasseter', 'American'),
('David', 'Ayer', 'American'),
('Robert', 'Rodriguez', 'American'),
('John', 'Carpenter', 'American'),
('Renny', 'Harlin', 'Finnish'),
('Wolfgang', 'Petersen', 'German'),
('Guy', 'Ritchie', 'British'),
('Peter', 'Jackson', 'New Zealander'),
('Gore', 'Verbinski', 'American'),
('F. Gary', 'Gray', 'American'),
('David', 'Twohy', 'American'),
('Patty', 'Jenkins', 'American'),
('Joss', 'Whedon', 'American'),
('Penny', 'Marshall', 'American'),
('Richard', 'Linklater', 'American'),
('Edgar', 'Wright', 'British'),
('John', 'Hughes', 'American'),
('Christopher', 'Guest', 'American'),
('Lana', 'Wachowski', 'American'),
('Lilly', 'Wachowski', 'American'),
('Todd', 'Field', 'American'),
('Michael', 'Moore', 'American'),
('Paul', 'Greengrass', 'British'),
('Michael', 'Bay', 'American'),
('Werner', 'Herzog', 'German'),
('Roman', 'Polanski', 'French'),
('Preston', 'Sturges', 'American'),
('David', 'Lynch', 'American'),
('Rian', 'Johnson', 'American'),
('Denis', 'Villeneuve', 'Canadian'),
('Matthew', 'Vaughn', 'British'),
('Ava', 'DuVernay', 'American'),
('Robert', 'Eggers', 'American'),
('John', 'Krasinski', 'American'),
('Matthew', 'McConaughey', 'American'),
('Naoko', 'Yamada', 'Japanese'),
('Mamoru', 'Hosoda', 'Japanese'),
('Yoshiyuki', 'Tomino', 'Japanese'),
('Masaaki', 'Yuasa', 'Japanese'),
('Katsuhiro', 'Otomo', 'Japanese'),
('Kunihiko', 'Ikuhara', 'Japanese'),
('Isao', 'Takahata', 'Japanese'),
('Yasujiro', 'Ozu', 'Japanese'),
('Hayao', 'Miyazaki', 'Japanese'),
('Makoto', 'Shinkai', 'Japanese'),
('Satoshi', 'Kon', 'Japanese'),
('Hirokazu', 'Kore-eda', 'Japanese'),
('Kenji', 'Mizoguchi', 'Japanese'),
('Takeshi', 'Kitano', 'Japanese'),
('Hideo', 'Kojima', 'Japanese'),
('Shinya', 'Tsukamoto', 'Japanese'),
('Sion', 'Sono', 'Japanese'),
('Akira', 'Kurosawa', 'Japanese'),
('Masaki', 'Kobayashi', 'Japanese'),
('Kenji', 'Mizoguchi', 'Japanese'),
('Kaneto', 'Shindō', 'Japanese'),
('Nagisa', 'Ōshima', 'Japanese'),
('Kinji', 'Fukasaku', 'Japanese'),
('Takashi', 'Miike', 'Japanese'),
('Ryūsuke', 'Hamaguchi', 'Japanese'),
('Yoshiaki', 'Kawajiri', 'Japanese'),
('Isao', 'Takahata', 'Japanese'),
('Kiyoshi', 'Kurosawa', 'Japanese'),
('Hiroshi', 'Inagaki', 'Japanese'),
('Michael', 'Apted', 'British'),
('George', 'Roy Hill', 'American'),
('Michael', 'Radford', 'British'),
('Jonathan', 'Lynn', 'British'),
('Neil', 'Jordan', 'Irish'),
('Alejandro', 'González Iñárritu', 'Mexican'),
('Fernando', 'Meirelles', 'Brazilian'),
('Lone', 'Scherfig', 'Danish'),
('George', 'Nolfi', 'American'),
('Lasse', 'Hallström', 'Swedish'),
('Jay', 'Roach', 'American'),
('Adam', 'Shankman', 'American'),
('Mikael', 'Håfström', 'Swedish'),
('Tom', 'McCarthy', 'American'),
('Jason', 'Reitman', 'Canadian'),
('Shane', 'Black', 'American'),
('Wim', 'Wenders', 'German'),
('Jim', 'Sheridan', 'Irish'),
('Peter', 'Mullan', 'Scottish'),
('Ken', 'Loach', 'British'),
('Terry', 'Jones', 'British'),
('Stephen', 'Daldry', 'British'),
('Baz', 'Luhrmann', 'Australian'),
('Gurinder', 'Chadha', 'British'),
('Sally', 'Potter', 'British'),
('Danny', 'Boyle', 'British'),
('Andrea', 'Arnold', 'British'),
('Amma', 'Asante', 'British'),
('Andrew', 'Haigh', 'British'),
('Steve', 'McQueen', 'British'),
('Lynne', 'Ramsay', 'Scottish'),
('Armando', 'Iannucci', 'Scottish'),
('Garth', 'Jennings', 'British'),
('Jonathan', 'Glazer', 'British'),
('David', 'Mackenzie', 'British'),
('Gareth', 'Edwards', 'British'),
('Paul', 'Greengrass', 'British'),
('Tom', 'Hooper', 'British'),
('Alex', 'Garland', 'British'),
('Guy', 'Ritchie', 'British'),
('Edgar', 'Wright', 'British'),
('Christopher', 'Nolan', 'British'),
('Ridley', 'Scott', 'British'),
('Peter', 'Jackson', 'New Zealander'),
('Jane', 'Campion', 'New Zealander'),
('Taika', 'Waititi', 'New Zealander'),
('Roger', 'Donaldson', 'New Zealander'),
('Andrew', 'Niccol', 'New Zealander'),
('Vincent', 'Ward', 'New Zealander'),
('Niki', 'Caro', 'New Zealander'),
('Lee', 'Tamahori', 'New Zealander'),
('Andrew', 'Adamson', 'New Zealander'),
('Neill', 'Blomkamp', 'South African'),
('Gavin', 'Hood', 'South African'),
('Darrell', 'Roodt', 'South African'),
('Oliver', 'Hirschbiegel', 'German'),
('Fatih', 'Akin', 'German'),
('Volker', 'Schlöndorff', 'German'),
('Andreas', 'Dresen', 'German'),
('Christian', 'Petzold', 'German'),
('Rainer', 'Werner Fassbinder', 'German'),
('Margarethe', 'von Trotta', 'German'),
('Tom', 'Tykwer', 'German'),
('Michael', 'Haneke', 'Austrian'),
('Jessica', 'Hausner', 'Austrian'),
('Ulrich', 'Seidl', 'Austrian'),
('Stefan', 'Ruzowitzky', 'Austrian'),
('Sebastian', 'Koch', 'Austrian'),
('Hannes', 'Holm', 'Swedish'),
('Lasse', 'Hallström', 'Swedish'),
('Tomas', 'Alfredson', 'Swedish'),
('Roy', 'Andersson', 'Swedish'),
('Jan', 'Trobisch', 'German'),
('Philipp', 'Leinemann', 'German'),
('Florian', 'Henckel von Donnersmarck', 'German'),
('Dennis', 'Gansel', 'German'),
('Florian', 'Cossen', 'German'),
('Chris', 'Kraus', 'German'),
('Christian', 'Zübert', 'German'),
('Andreas', 'Prochaska', 'Austrian'),
('Andreas', 'Gruber', 'Austrian'),
('Wolfgang', 'Murnberger', 'Austrian'),
('Otto', 'Schwarz', 'Austrian'),
('Barbara', 'Albert', 'Austrian'),
('Ulrich', 'Seidl', 'Austrian'),
('Michael', 'Haneke', 'Austrian'),
('Stefan', 'Ruzowitzky', 'Austrian'),
('Jessica', 'Hausner', 'Austrian'),
('Götz', 'Spielmann', 'Austrian'),
('Kurt', 'Mayer', 'Austrian'),
('Michael', 'Glawogger', 'Austrian'),
('Werner', 'Herzog', 'German'),
('Wim', 'Wenders', 'German'),
('Fatih', 'Akin', 'German'),
('Volker', 'Schlöndorff', 'German'),
('Andreas', 'Dresen', 'German'),
('Christian', 'Petzold', 'German'),
('Rainer', 'Werner Fassbinder', 'German'),
('Margarethe', 'von Trotta', 'German'),
('Tom', 'Tykwer', 'German'),
('Michael', 'Haneke', 'Austrian'),
('Jessica', 'Hausner', 'Austrian'),
('Ulrich', 'Seidl', 'Austrian'),
('Stefan', 'Ruzowitzky', 'Austrian'),
('Sebastian', 'Koch', 'Austrian'),
('Hannes', 'Holm', 'Swedish'),
('Lasse', 'Hallström', 'Swedish'),
('Tomas', 'Alfredson', 'Swedish'),
('Roy', 'Andersson', 'Swedish'),
('Jan', 'Trobisch', 'German'),
('Philipp', 'Leinemann', 'German'),
('Florian', 'Henckel von Donnersmarck', 'German'),
('Dennis', 'Gansel', 'German'),
('Florian', 'Cossen', 'German'),
('Chris', 'Kraus', 'German'),
('Christian', 'Zübert', 'German'),
('Andreas', 'Prochaska', 'Austrian'),
('Andreas', 'Gruber', 'Austrian'),
('Wolfgang', 'Murnberger', 'Austrian'),
('Otto', 'Schwarz', 'Austrian'),
('Barbara', 'Albert', 'Austrian'),
('Ulrich', 'Seidl', 'Austrian'),
('Michael', 'Haneke', 'Austrian'),
('Stefan', 'Ruzowitzky', 'Austrian'),
('Jessica', 'Hausner', 'Austrian'),
('Götz', 'Spielmann', 'Austrian'),
('Kurt', 'Mayer', 'Austrian'),
